mutant,ker rank,gen rank,mean acc curves,std acc curves,mean acc input,std acc input,,kr - gr,
iML1515_GX,64,43,0.9976,0.0063,0.6614,0.0771,,21,0.9976
iMM904_GX,64,46,0.9932,0.0124,0.6538,0.0832,,18,0.9932
iPC815_GX,16,6,0.6868,0.0644,0.6655,0.0866,,10,0.6868
iYO844_GX,64,48,0.9978,0.0041,0.6674,0.0915,,16,0.9978
iYS1720_GX,64,44,0.9948,0.0092,0.6465,0.071,,20,0.9948
iYS854_GX,45,31,0.9191,0.0432,0.661,0.0801,,14,0.9191
