timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,55,0.9979,0.0053,0.648,0.0975
2,198,98,55,0.9991,0.0038,0.6567,0.081
3,197,98,55,0.9979,0.0055,0.6694,0.0783
4,196,98,56,0.9984,0.005,0.6426,0.0823
5,195,98,56,0.998,0.0055,0.6613,0.0813
6,194,98,56,0.9988,0.0041,0.6439,0.0847
7,193,98,56,0.9987,0.0046,0.653,0.0879
8,192,98,56,0.9969,0.0067,0.6667,0.0852
9,191,98,56,0.9974,0.0066,0.6792,0.0859
10,190,98,57,0.9976,0.0059,0.6512,0.0807
11,189,98,57,0.9985,0.0052,0.6511,0.085
12,188,98,57,0.9985,0.0048,0.6545,0.0835
13,187,98,57,0.9977,0.0058,0.656,0.0836
14,186,98,57,0.9991,0.0038,0.6618,0.0758
15,185,98,57,0.9981,0.0056,0.6639,0.084
16,184,98,57,0.9984,0.0048,0.636,0.0759
17,183,98,57,0.9983,0.0053,0.6665,0.0839
18,182,98,57,0.9984,0.0048,0.6642,0.0803
19,181,98,57,0.9991,0.0038,0.6611,0.076
20,180,98,57,0.9993,0.0032,0.6597,0.0861
21,179,98,57,0.9992,0.0037,0.6569,0.0803
22,178,98,57,0.9984,0.0052,0.6594,0.0756
23,177,98,57,0.998,0.0055,0.6551,0.0889
24,176,98,57,0.9994,0.0031,0.6521,0.0821
25,175,98,57,0.9982,0.0054,0.6484,0.0935
26,174,98,57,0.9984,0.0048,0.6787,0.08
27,173,98,57,0.9976,0.0063,0.6534,0.0736
28,172,98,57,0.9978,0.0059,0.6466,0.0838
29,171,98,57,0.9984,0.005,0.6567,0.0774
30,170,98,57,0.998,0.0057,0.6656,0.081
31,169,98,57,0.9983,0.0051,0.6751,0.086
32,168,98,57,0.9987,0.0048,0.6447,0.0852
33,167,98,57,0.998,0.0055,0.6563,0.0834
34,166,98,57,0.9986,0.0049,0.6396,0.0878
35,165,98,57,0.9978,0.0059,0.6586,0.0868
36,164,98,57,0.9978,0.0056,0.6565,0.076
37,163,98,57,0.9993,0.0035,0.655,0.0822
38,162,98,57,0.9979,0.0057,0.6671,0.0881
39,161,98,57,0.9983,0.0049,0.6648,0.0863
40,160,98,57,0.9975,0.0062,0.6457,0.0868
41,159,98,57,0.9979,0.0059,0.6589,0.0829
42,158,98,57,0.9983,0.0051,0.6649,0.0806
43,157,98,57,0.998,0.0057,0.6495,0.083
44,156,97,57,0.9976,0.0062,0.663,0.0892
45,155,96,57,0.9977,0.006,0.6508,0.0791
46,154,95,57,0.9987,0.0044,0.6462,0.0894
47,153,94,57,0.998,0.0053,0.6684,0.0796
48,152,93,57,0.9976,0.0059,0.6603,0.0936
49,151,92,56,0.9754,0.0413,0.6428,0.0897
50,150,91,56,0.9881,0.0311,0.6489,0.0789
51,149,90,55,0.9793,0.037,0.6583,0.0948
52,148,89,55,0.9779,0.0261,0.658,0.0709
53,147,88,55,0.9795,0.0292,0.6671,0.0856
54,146,87,55,0.98,0.0271,0.6734,0.0831
55,145,86,55,0.9684,0.0364,0.6589,0.0844
56,144,85,55,0.9616,0.0394,0.6489,0.0843
57,143,84,55,0.963,0.0319,0.6477,0.0809
58,142,83,55,0.9388,0.0326,0.6551,0.077
59,141,82,54,0.9465,0.0356,0.6605,0.0792
60,140,81,53,0.9275,0.042,0.6474,0.082
61,139,80,52,0.9264,0.0401,0.6566,0.0877
62,138,79,51,0.9277,0.0367,0.6753,0.0864
63,137,78,50,0.929,0.0405,0.6508,0.0935
64,136,77,50,0.9198,0.0416,0.6547,0.0776
65,135,76,49,0.9134,0.0473,0.6425,0.0861
66,134,75,48,0.9264,0.0412,0.656,0.0946
67,133,74,47,0.9068,0.0414,0.6535,0.0804
68,132,73,47,0.9198,0.0442,0.659,0.0861
69,131,72,46,0.9214,0.0398,0.6521,0.078
70,130,71,46,0.9177,0.0373,0.6677,0.082
71,129,70,45,0.9151,0.0388,0.6637,0.0955
72,128,70,45,0.9133,0.0384,0.6594,0.0805
73,127,69,44,0.9067,0.0384,0.6626,0.0827
74,126,68,43,0.895,0.0361,0.6469,0.0869
75,125,67,42,0.8859,0.0431,0.6545,0.0947
76,124,66,42,0.8758,0.0445,0.6717,0.0885
77,123,65,41,0.8688,0.0462,0.6657,0.0914
78,122,64,40,0.8586,0.0447,0.6516,0.075
79,121,63,39,0.8637,0.0463,0.6475,0.0853
80,120,62,38,0.8627,0.0434,0.6627,0.0898
81,119,61,37,0.868,0.0394,0.6589,0.0894
82,118,60,37,0.8708,0.0445,0.6736,0.0865
83,117,59,36,0.8578,0.0441,0.6447,0.0868
84,116,58,35,0.8482,0.0578,0.6727,0.0902
85,115,57,34,0.8389,0.0423,0.6571,0.0909
86,114,56,33,0.8449,0.0488,0.6339,0.0808
87,113,55,32,0.8385,0.0549,0.6562,0.093
88,112,54,31,0.8288,0.0535,0.6724,0.0925
89,111,53,30,0.8171,0.0468,0.6672,0.0854
90,110,52,30,0.8025,0.0478,0.6554,0.0779
91,109,51,29,0.8026,0.0505,0.6481,0.0854
92,108,50,28,0.7985,0.0528,0.6514,0.0809
93,107,50,28,0.7844,0.0601,0.645,0.0885
94,106,49,28,0.7784,0.054,0.6596,0.0875
95,105,48,27,0.7711,0.0618,0.6477,0.0753
96,104,47,27,0.7666,0.0601,0.6683,0.0882
97,103,46,27,0.7472,0.0594,0.6542,0.0847
98,102,45,27,0.7535,0.0626,0.6556,0.0781
99,101,44,27,0.7462,0.0652,0.6599,0.0804
100,100,43,27,0.733,0.063,0.6506,0.0886
101,99,42,26,0.7383,0.0657,0.6558,0.0717
102,98,41,26,0.7526,0.0683,0.6725,0.0832
103,97,41,26,0.7344,0.0613,0.6599,0.0955
104,96,40,26,0.7368,0.0702,0.661,0.0813
105,95,40,26,0.7291,0.0692,0.668,0.0787
106,94,39,25,0.7225,0.0632,0.6536,0.0828
107,93,38,25,0.7249,0.062,0.6673,0.0812
108,92,38,25,0.7261,0.0734,0.6701,0.0902
109,91,37,25,0.7159,0.0628,0.6621,0.0824
110,90,36,25,0.7077,0.0538,0.6447,0.0681
111,89,35,25,0.6996,0.0746,0.6528,0.0885
112,88,35,25,0.6966,0.075,0.6619,0.0814
113,87,34,25,0.7077,0.0645,0.6526,0.0803
114,86,34,24,0.6976,0.0658,0.6507,0.0885
115,85,34,23,0.6851,0.0625,0.6617,0.0819
116,84,33,22,0.6921,0.0553,0.6609,0.0848
117,83,32,21,0.6861,0.0618,0.6535,0.0662
118,82,32,20,0.6733,0.0587,0.6514,0.0863
119,81,32,19,0.6688,0.0621,0.6426,0.087
120,80,31,18,0.6722,0.0669,0.6627,0.0799
121,79,31,17,0.6625,0.065,0.6667,0.0866
122,78,31,17,0.6643,0.0676,0.6351,0.0907
123,77,30,16,0.6649,0.0623,0.6529,0.0765
124,76,30,15,0.6579,0.0603,0.6644,0.0918
125,75,29,14,0.6479,0.0547,0.6559,0.0765
126,74,29,13,0.6453,0.0502,0.6625,0.0867
127,73,29,12,0.6326,0.054,0.6426,0.0838
128,72,28,11,0.6467,0.0541,0.6439,0.0859
129,71,28,11,0.6478,0.0596,0.6712,0.0826
130,70,28,10,0.64,0.0578,0.6562,0.0929
131,69,27,10,0.6459,0.0597,0.6378,0.0836
132,68,26,10,0.656,0.0653,0.6761,0.0883
133,67,26,9,0.6408,0.069,0.6681,0.0812
134,66,25,9,0.6427,0.0648,0.6622,0.0908
135,65,25,9,0.6466,0.0738,0.6587,0.0848
136,64,25,9,0.6323,0.0598,0.6524,0.0739
137,63,25,8,0.6381,0.0563,0.6667,0.0761
138,62,24,8,0.6261,0.0644,0.656,0.0844
139,61,24,8,0.6326,0.0635,0.6622,0.0742
140,60,23,8,0.6193,0.0584,0.6503,0.0837
141,59,23,8,0.6115,0.062,0.6542,0.0852
142,58,23,8,0.6035,0.0637,0.6579,0.0938
143,57,22,8,0.6175,0.0687,0.6404,0.0836
144,56,22,8,0.615,0.0709,0.6518,0.0943
145,55,21,8,0.6195,0.0655,0.6631,0.0879
146,54,21,8,0.6165,0.0633,0.6679,0.0791
147,53,20,7,0.61,0.062,0.648,0.0823
148,52,19,7,0.62,0.0768,0.663,0.0839
149,51,19,7,0.619,0.0737,0.6648,0.0782
150,50,19,7,0.6015,0.0654,0.6512,0.093
151,49,18,7,0.6085,0.0583,0.6547,0.0723
152,48,17,7,0.632,0.0814,0.6637,0.0988
153,47,17,7,0.6155,0.0702,0.6704,0.0852
154,46,17,7,0.613,0.0684,0.654,0.0834
155,45,16,7,0.613,0.0603,0.6572,0.0902
156,44,16,7,0.6255,0.061,0.6595,0.0815
157,43,15,7,0.607,0.0575,0.6504,0.0771
158,42,15,7,0.606,0.0637,0.6626,0.0761
159,41,15,6,0.607,0.0579,0.6452,0.0859
160,40,14,6,0.616,0.064,0.6671,0.0809
161,39,14,6,0.615,0.0661,0.6573,0.0822
162,38,14,6,0.613,0.0673,0.6414,0.0812
163,37,13,6,0.611,0.0597,0.6525,0.0882
164,36,13,6,0.6074,0.0542,0.6485,0.0763
165,35,13,6,0.5999,0.0499,0.6552,0.0828
166,34,13,6,0.6125,0.0637,0.65,0.0795
167,33,12,6,0.5972,0.0642,0.654,0.0795
168,32,12,6,0.5915,0.0633,0.6488,0.0954
169,31,12,6,0.5975,0.0606,0.6598,0.0893
170,30,12,6,0.593,0.0644,0.6458,0.0829
171,29,11,6,0.605,0.0658,0.6704,0.0806
172,28,11,6,0.6027,0.078,0.6714,0.0935
173,27,11,6,0.6,0.0819,0.6642,0.0861
174,26,11,6,0.594,0.0715,0.6643,0.0806
175,25,11,5,0.602,0.079,0.6618,0.0812
176,24,10,5,0.608,0.0603,0.6567,0.0734
177,23,10,5,0.5965,0.0617,0.6615,0.087
178,22,10,5,0.595,0.068,0.6444,0.0791
179,21,10,5,0.5915,0.0728,0.6493,0.0886
180,20,10,5,0.5855,0.0618,0.6404,0.0783
181,19,10,5,0.5855,0.0641,0.6548,0.0936
182,18,10,5,0.607,0.0682,0.6722,0.0797
183,17,10,5,0.5925,0.0687,0.6455,0.0809
184,16,9,5,0.59,0.0671,0.6468,0.0749
185,15,9,5,0.5935,0.0713,0.6584,0.0935
186,14,9,5,0.6005,0.068,0.6676,0.0804
187,13,9,5,0.5985,0.0702,0.6578,0.076
188,12,9,5,0.603,0.0727,0.6678,0.0861
189,11,8,5,0.596,0.0695,0.645,0.0901
190,10,8,5,0.58,0.0612,0.6446,0.0812
191,9,8,4,0.5922,0.075,0.6444,0.0788
192,8,8,4,0.5899,0.0635,0.6574,0.0804
193,7,7,4,0.5973,0.0707,0.6505,0.0938
194,6,6,4,0.5951,0.0675,0.6535,0.0819
195,5,5,4,0.6075,0.063,0.6581,0.082
196,4,4,4,0.6001,0.0698,0.6613,0.0934
197,3,3,3,0.593,0.0736,0.6681,0.0908
198,2,2,2,0.5903,0.0755,0.6679,0.0969
199,1,1,1,0.595,0.0685,0.6426,0.0835
