timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,55,0.9896,0.0173,0.6548,0.083
2,198,98,55,0.9902,0.0147,0.6587,0.075
3,197,98,55,0.9908,0.0144,0.6462,0.0853
4,196,98,56,0.9909,0.0159,0.6451,0.0848
5,195,98,56,0.9928,0.0141,0.6537,0.0863
6,194,98,56,0.992,0.0146,0.6532,0.086
7,193,98,56,0.9893,0.0172,0.667,0.0759
8,192,98,56,0.9904,0.0148,0.6586,0.0856
9,191,98,56,0.992,0.0157,0.6519,0.0822
10,190,98,57,0.9903,0.0149,0.6304,0.0753
11,189,98,57,0.9897,0.0172,0.656,0.0876
12,188,98,57,0.9894,0.017,0.655,0.0854
13,187,98,57,0.9893,0.0179,0.6505,0.0868
14,186,98,57,0.991,0.0149,0.6595,0.0878
15,185,98,57,0.9872,0.0195,0.6506,0.0821
16,184,98,57,0.9931,0.0144,0.663,0.0794
17,183,98,57,0.9873,0.0178,0.6776,0.0868
18,182,98,57,0.988,0.0175,0.6527,0.0904
19,181,98,57,0.9886,0.0155,0.6511,0.0962
20,180,98,57,0.9917,0.0146,0.664,0.094
21,179,98,57,0.9916,0.0158,0.6546,0.0867
22,178,98,57,0.9893,0.0157,0.6559,0.0804
23,177,98,57,0.9913,0.0138,0.6759,0.0847
24,176,98,57,0.9903,0.0165,0.6573,0.0868
25,175,98,57,0.991,0.0137,0.6494,0.0789
26,174,98,57,0.9912,0.0158,0.6557,0.089
27,173,98,57,0.9922,0.0143,0.6724,0.0809
28,172,98,57,0.9932,0.0136,0.6387,0.088
29,171,98,57,0.9916,0.0132,0.677,0.0947
30,170,98,57,0.9915,0.0159,0.6614,0.0795
31,169,98,57,0.9936,0.0118,0.6597,0.0873
32,168,98,57,0.9896,0.0151,0.6529,0.0896
33,167,98,57,0.9918,0.014,0.6526,0.0918
34,166,98,57,0.986,0.0187,0.6487,0.0861
35,165,98,57,0.9938,0.0111,0.651,0.0769
36,164,98,57,0.9889,0.0179,0.6579,0.0849
37,163,98,57,0.9903,0.016,0.6592,0.0696
38,162,98,57,0.9912,0.0151,0.6541,0.0784
39,161,98,57,0.9897,0.0165,0.6633,0.0862
40,160,98,57,0.9906,0.0166,0.6522,0.0764
41,159,98,57,0.989,0.0173,0.6359,0.0852
42,158,98,57,0.9908,0.0141,0.648,0.0915
43,157,98,57,0.9915,0.0151,0.6509,0.0905
44,156,97,57,0.9899,0.0166,0.6501,0.0828
45,155,96,57,0.9917,0.015,0.6619,0.0823
46,154,95,57,0.9883,0.0163,0.6639,0.094
47,153,94,57,0.991,0.0135,0.6419,0.0788
48,152,93,57,0.9904,0.0148,0.6582,0.0845
49,151,92,56,0.9758,0.0298,0.6606,0.0773
50,150,91,56,0.975,0.0331,0.6562,0.0823
51,149,90,55,0.9756,0.029,0.6674,0.0814
52,148,89,55,0.9695,0.0282,0.6641,0.0851
53,147,88,55,0.97,0.0267,0.6508,0.0805
