timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,97,56,0.9995,0.0022,0.6651,0.088
2,198,97,56,0.9994,0.0024,0.665,0.0831
3,197,97,56,0.9992,0.0027,0.6554,0.0835
4,196,97,56,0.999,0.003,0.652,0.087
5,195,97,56,0.9993,0.0026,0.6685,0.0732
6,194,97,56,0.9996,0.002,0.6621,0.0933
7,193,97,56,0.9999,0.001,0.6501,0.083
8,192,97,56,0.9994,0.0024,0.6444,0.0865
9,191,97,56,0.9996,0.002,0.6614,0.0872
10,190,97,56,0.9996,0.002,0.6553,0.0845
11,189,97,56,0.9996,0.002,0.6472,0.0803
12,188,97,56,0.9996,0.002,0.6616,0.0881
13,187,97,56,0.9996,0.002,0.6684,0.077
14,186,97,56,0.9997,0.0017,0.6659,0.084
15,185,97,56,0.9996,0.002,0.6651,0.0804
16,184,97,56,0.9994,0.0024,0.6529,0.0778
17,183,97,56,0.9997,0.0017,0.6708,0.0884
18,182,97,56,0.9997,0.0017,0.6756,0.096
19,181,97,56,0.9994,0.0024,0.6597,0.0874
20,180,97,56,0.9997,0.0017,0.6725,0.0808
21,179,97,56,0.9996,0.002,0.6579,0.0914
22,178,97,56,0.9996,0.002,0.6673,0.0838
23,177,97,56,0.9997,0.0017,0.655,0.081
24,176,97,56,0.9995,0.0022,0.6577,0.0827
25,175,97,56,0.9995,0.0022,0.6627,0.0771
26,174,97,56,0.9998,0.0014,0.6576,0.0819
27,173,97,56,0.9993,0.0026,0.6727,0.0964
28,172,97,56,0.9994,0.0024,0.6471,0.0733
29,171,97,56,0.9996,0.002,0.6569,0.0768
30,170,97,56,0.9995,0.0022,0.6593,0.0781
31,169,97,56,0.9996,0.002,0.6715,0.0793
32,168,97,56,0.9996,0.002,0.6676,0.091
33,167,97,56,0.9997,0.0017,0.6493,0.0812
34,166,97,56,0.9998,0.0014,0.6332,0.078
35,165,97,56,0.9996,0.002,0.6699,0.0854
36,164,97,56,0.9996,0.002,0.6563,0.0965
37,163,97,56,0.9997,0.0017,0.6606,0.0757
38,162,97,56,0.9996,0.002,0.6523,0.0814
39,161,97,56,0.9994,0.0024,0.65,0.0881
40,160,97,56,0.9995,0.0022,0.6687,0.0771
41,159,97,56,0.9996,0.002,0.6414,0.0953
42,158,97,56,0.9997,0.0017,0.6596,0.0737
43,157,97,56,0.9994,0.0024,0.6477,0.0954
44,156,97,56,0.9993,0.0026,0.6429,0.0885
45,155,97,56,0.9993,0.0026,0.667,0.0829
46,154,96,56,0.9997,0.0017,0.6659,0.0727
47,153,95,56,0.9999,0.001,0.6554,0.0789
48,152,94,56,0.9996,0.002,0.6479,0.0787
49,151,93,56,0.9997,0.0017,0.6509,0.0909
50,150,92,56,0.9995,0.0022,0.6556,0.0965
51,149,91,55,0.9894,0.0291,0.6448,0.0857
52,148,90,55,0.9919,0.0248,0.6344,0.0812
53,147,89,54,0.9905,0.0238,0.6501,0.076
54,146,88,54,0.9778,0.0245,0.6572,0.0776
55,145,87,54,0.9797,0.0249,0.6562,0.0849
56,144,86,53,0.9794,0.0254,0.6627,0.0869
57,143,85,53,0.9666,0.0298,0.6677,0.083
58,142,84,53,0.957,0.0366,0.6529,0.0866
59,141,83,54,0.9669,0.028,0.6485,0.0883
60,140,82,54,0.939,0.038,0.665,0.0899
61,139,81,53,0.9392,0.0385,0.6498,0.0778
62,138,80,52,0.9296,0.042,0.6671,0.0846
63,137,79,51,0.9174,0.0437,0.6491,0.0807
64,136,78,50,0.9327,0.038,0.644,0.0821
65,135,77,49,0.925,0.0387,0.6533,0.0789
66,134,76,48,0.9318,0.0394,0.6619,0.0767
