timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,93,52,0.9959,0.0053,0.6547,0.0838
2,198,93,52,0.9942,0.0055,0.6542,0.0797
3,197,93,52,0.9955,0.0054,0.6571,0.0927
4,196,93,52,0.996,0.0053,0.666,0.0828
5,195,93,52,0.9957,0.0051,0.6669,0.0776
6,194,93,52,0.9951,0.0052,0.6597,0.0852
7,193,93,52,0.9953,0.0052,0.6663,0.0859
8,192,93,52,0.996,0.0051,0.6435,0.0742
9,191,93,52,0.9957,0.005,0.6596,0.0717
10,190,93,52,0.9958,0.0055,0.6541,0.0767
11,189,93,52,0.9957,0.0051,0.6584,0.0878
12,188,93,52,0.9959,0.0049,0.6591,0.0844
13,187,93,52,0.9953,0.0052,0.6561,0.081
14,186,93,52,0.9954,0.0056,0.6712,0.0867
15,185,93,52,0.9955,0.0052,0.6652,0.0818
16,184,93,52,0.996,0.0049,0.65,0.0781
17,183,93,52,0.9953,0.0052,0.6379,0.0764
18,182,93,52,0.9967,0.0047,0.6434,0.0731
19,181,93,53,0.997,0.0048,0.6603,0.0918
20,180,93,53,0.9962,0.0052,0.6669,0.0881
21,179,93,53,0.9965,0.005,0.6513,0.0841
22,178,93,53,0.9958,0.0053,0.6553,0.0847
23,177,93,53,0.9964,0.0052,0.6517,0.0775
24,176,93,53,0.9961,0.0049,0.6535,0.0731
25,175,93,53,0.9969,0.0048,0.6637,0.081
26,174,93,53,0.9956,0.0052,0.6579,0.0872
27,173,93,53,0.9958,0.0053,0.6536,0.0829
28,172,93,53,0.9963,0.0052,0.6664,0.086
29,171,93,53,0.9957,0.0051,0.6489,0.0875
30,170,93,53,0.9958,0.0049,0.6456,0.08
31,169,93,53,0.9955,0.0052,0.6468,0.0875
32,168,93,53,0.9961,0.0051,0.6539,0.0875
33,167,93,53,0.9958,0.0053,0.6598,0.0826
34,166,93,53,0.9959,0.0053,0.6593,0.0827
35,165,93,53,0.9963,0.0052,0.6655,0.0814
36,164,93,53,0.9965,0.0052,0.6463,0.0852
37,163,93,53,0.9952,0.0052,0.6483,0.0829
38,162,93,53,0.9961,0.0049,0.6577,0.086
39,161,93,54,0.995,0.0054,0.6597,0.0864
40,160,93,54,0.9953,0.0052,0.6577,0.0751
41,159,93,54,0.996,0.0049,0.6563,0.0823
42,158,93,54,0.9955,0.0054,0.6602,0.0849
43,157,93,54,0.9958,0.0055,0.6512,0.0911
44,156,93,54,0.9963,0.005,0.6623,0.0865
45,155,93,54,0.996,0.0051,0.6553,0.0915
46,154,93,54,0.9955,0.0054,0.6486,0.0888
47,153,93,54,0.996,0.0051,0.6642,0.072
48,152,93,54,0.9961,0.0051,0.6563,0.0853
49,151,93,54,0.9954,0.0052,0.66,0.0844
50,150,93,54,0.9948,0.0052,0.662,0.0721
51,149,94,54,0.9948,0.0054,0.6549,0.0938
52,148,93,54,0.9959,0.0053,0.6487,0.077
53,147,92,54,0.9967,0.0049,0.6558,0.0855
54,146,91,54,0.9955,0.0055,0.6536,0.0781
55,145,90,54,0.9961,0.0056,0.676,0.0948
56,144,89,54,0.9957,0.0051,0.655,0.0786
57,143,88,53,0.987,0.0299,0.6608,0.0813
58,142,87,53,0.9891,0.0219,0.6649,0.09
59,141,86,52,0.9891,0.0215,0.6519,0.0914
