timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,58,0.9904,0.0115,0.6482,0.0803
2,198,98,58,0.9918,0.0108,0.6481,0.0909
3,197,98,58,0.9926,0.0105,0.6615,0.0862
4,196,98,58,0.9948,0.009,0.6593,0.0843
5,195,98,58,0.9922,0.011,0.6578,0.0891
6,194,98,58,0.9928,0.011,0.6528,0.0785
7,193,98,58,0.9918,0.0109,0.6485,0.0901
8,192,98,58,0.9935,0.0098,0.6438,0.0756
9,191,98,58,0.9912,0.012,0.6572,0.0784
10,190,98,58,0.9928,0.0094,0.6553,0.0797
11,189,98,58,0.9905,0.0113,0.6585,0.0883
12,188,98,58,0.9917,0.0123,0.6479,0.0897
13,187,98,58,0.9918,0.0113,0.6679,0.0789
14,186,98,58,0.9933,0.0097,0.6558,0.085
15,185,98,58,0.9924,0.0096,0.6584,0.0884
16,184,98,58,0.9933,0.01,0.6496,0.0876
17,183,98,58,0.9926,0.011,0.6526,0.0782
18,182,98,58,0.9936,0.0102,0.6597,0.078
19,181,98,58,0.9914,0.0121,0.6436,0.0849
20,180,98,58,0.9904,0.0131,0.6547,0.0777
21,179,98,58,0.9917,0.0104,0.6524,0.093
22,178,98,58,0.9931,0.0102,0.6663,0.083
23,177,98,58,0.9904,0.0109,0.6554,0.0756
24,176,98,58,0.992,0.0106,0.6629,0.0846
25,175,98,58,0.9938,0.0102,0.662,0.0892
26,174,98,58,0.9922,0.0104,0.6499,0.0804
27,173,98,58,0.9923,0.0126,0.6514,0.0806
28,172,98,58,0.9942,0.0092,0.6578,0.0785
29,171,98,58,0.9902,0.0114,0.6628,0.0828
30,170,98,58,0.9933,0.0095,0.661,0.0819
31,169,98,58,0.9926,0.0104,0.6445,0.0907
32,168,98,58,0.9919,0.0109,0.6555,0.077
33,167,98,58,0.9928,0.0115,0.6577,0.0858
34,166,98,58,0.9914,0.0112,0.647,0.0837
35,165,98,58,0.9936,0.0093,0.6621,0.0834
36,164,98,58,0.992,0.0102,0.6706,0.0886
37,163,98,58,0.9922,0.0115,0.6571,0.0765
38,162,98,58,0.9926,0.0105,0.6568,0.0848
39,161,98,58,0.9905,0.0126,0.6581,0.0772
40,160,98,58,0.9934,0.0094,0.6587,0.0733
41,159,98,58,0.991,0.011,0.6623,0.0851
42,158,98,58,0.9915,0.0105,0.6573,0.0765
43,157,97,58,0.9917,0.0105,0.6546,0.0707
44,156,96,58,0.9921,0.0113,0.651,0.0836
45,155,95,58,0.993,0.0097,0.649,0.0718
46,154,94,58,0.9923,0.0113,0.6682,0.0843
47,153,93,57,0.9812,0.0301,0.6582,0.0888
48,152,92,57,0.9835,0.0285,0.6396,0.0903
49,151,91,57,0.9726,0.0351,0.6504,0.0909
50,150,90,57,0.9759,0.0276,0.6695,0.0856
51,149,89,57,0.9729,0.0297,0.6527,0.0801
52,148,88,57,0.9682,0.0295,0.6705,0.0952
53,147,87,56,0.9677,0.0373,0.6562,0.0806
54,146,86,56,0.969,0.0328,0.6573,0.0864
55,145,85,56,0.9665,0.0316,0.6597,0.084
56,144,84,55,0.9642,0.0287,0.6497,0.0781
57,143,83,55,0.9567,0.0317,0.6692,0.0974
58,142,82,54,0.9491,0.0374,0.6606,0.0896
59,141,81,53,0.9342,0.0367,0.6508,0.084
60,140,80,52,0.9309,0.037,0.6476,0.0911
61,139,79,51,0.9362,0.0397,0.645,0.084
62,138,79,51,0.9356,0.035,0.6531,0.0946
63,137,78,50,0.9333,0.0342,0.65,0.0752
64,136,77,49,0.9233,0.0422,0.6575,0.0876
65,135,76,48,0.9197,0.0426,0.6437,0.0807
66,134,75,47,0.926,0.0391,0.6531,0.091
67,133,74,47,0.93,0.0369,0.6695,0.0834
68,132,73,47,0.9262,0.0379,0.6498,0.0993
69,131,72,47,0.9149,0.0343,0.6495,0.0879
70,130,71,46,0.9271,0.0354,0.662,0.0898
71,129,70,46,0.9145,0.0394,0.643,0.082
72,128,69,45,0.9169,0.0406,0.6517,0.0866
73,127,68,44,0.8913,0.0399,0.646,0.0707
74,126,67,43,0.888,0.0438,0.666,0.0807
75,125,66,42,0.8737,0.0448,0.658,0.0893
76,124,65,41,0.864,0.0488,0.6674,0.0792
77,123,64,41,0.8572,0.0441,0.6408,0.0794
78,122,63,40,0.862,0.0468,0.6472,0.0828
79,121,62,39,0.8734,0.0536,0.6718,0.0931
80,120,61,39,0.8673,0.0486,0.6675,0.0763
81,119,60,38,0.868,0.0491,0.646,0.0768
82,118,59,37,0.8494,0.0564,0.6571,0.077
83,117,58,36,0.8465,0.055,0.6561,0.0873
84,116,58,35,0.8421,0.049,0.6601,0.083
85,115,57,34,0.8397,0.0514,0.6558,0.0854
86,114,56,34,0.8274,0.0532,0.6646,0.0877
87,113,55,33,0.8224,0.0485,0.6545,0.0779
88,112,54,32,0.8136,0.051,0.6635,0.0884
89,111,53,31,0.8054,0.049,0.6559,0.0765
90,110,52,30,0.8041,0.0576,0.664,0.072
91,109,51,30,0.8003,0.054,0.6766,0.0915
92,108,50,29,0.7756,0.0522,0.6464,0.0819
93,107,49,29,0.7814,0.059,0.6567,0.0805
94,106,48,28,0.7615,0.0583,0.6632,0.0844
95,105,47,28,0.7659,0.0594,0.6547,0.0883
96,104,46,27,0.7666,0.0577,0.6438,0.0934
97,103,45,27,0.7647,0.0578,0.6736,0.0891
98,102,44,27,0.7424,0.0639,0.6561,0.0789
99,101,43,27,0.7443,0.0573,0.6532,0.0871
100,100,43,26,0.74,0.0543,0.6465,0.0902
101,99,43,26,0.7268,0.0607,0.6636,0.0791
102,98,42,26,0.7279,0.062,0.6494,0.0783
103,97,41,26,0.7383,0.0582,0.6571,0.0828
104,96,40,26,0.7342,0.0618,0.6539,0.0851
105,95,40,26,0.7446,0.0653,0.6552,0.0932
106,94,39,26,0.7314,0.057,0.6541,0.0901
107,93,38,26,0.7257,0.0569,0.662,0.0859
108,92,37,26,0.7264,0.0641,0.6646,0.0923
109,91,37,26,0.7198,0.0639,0.6748,0.0816
110,90,36,25,0.6989,0.0634,0.6598,0.0907
111,89,35,25,0.6968,0.0715,0.6408,0.0825
112,88,35,25,0.7013,0.0695,0.6551,0.084
113,87,34,24,0.696,0.0637,0.6556,0.0854
114,86,34,23,0.6881,0.0591,0.6556,0.0894
115,85,34,22,0.6985,0.0665,0.6636,0.0896
116,84,33,22,0.6801,0.0523,0.661,0.0782
117,83,33,21,0.6801,0.0584,0.6581,0.083
118,82,32,20,0.6757,0.0644,0.6622,0.0874
119,81,32,19,0.6565,0.0685,0.6653,0.0807
120,80,31,18,0.6654,0.0646,0.652,0.0831
121,79,31,17,0.6601,0.0572,0.6519,0.0759
122,78,30,16,0.6659,0.0639,0.6631,0.0787
123,77,30,15,0.66,0.0568,0.6574,0.0845
124,76,30,14,0.655,0.0613,0.6538,0.0792
125,75,30,13,0.6444,0.0545,0.6508,0.0755
126,74,29,13,0.6392,0.0607,0.6658,0.0751
127,73,29,12,0.6497,0.0569,0.6513,0.0711
128,72,28,11,0.6476,0.0532,0.6611,0.0829
129,71,28,11,0.6477,0.0572,0.6539,0.0845
130,70,27,10,0.6532,0.0603,0.6731,0.0842
131,69,27,10,0.6484,0.056,0.6625,0.0925
132,68,27,10,0.6386,0.0577,0.6596,0.0854
133,67,26,9,0.6446,0.065,0.6621,0.0862
134,66,26,9,0.634,0.0581,0.6564,0.0827
135,65,25,9,0.6408,0.0599,0.6503,0.0918
136,64,25,9,0.6357,0.0692,0.657,0.0896
137,63,25,9,0.6329,0.0619,0.6578,0.0699
138,62,24,8,0.6242,0.0602,0.65,0.0883
139,61,24,8,0.614,0.0577,0.666,0.0868
140,60,23,8,0.6124,0.0604,0.6423,0.0873
141,59,23,8,0.6104,0.05,0.6596,0.0823
142,58,22,8,0.613,0.0681,0.6548,0.0874
143,57,22,8,0.6125,0.0576,0.6416,0.0778
144,56,21,8,0.6015,0.0581,0.6462,0.0755
145,55,21,8,0.6055,0.0578,0.6538,0.0925
146,54,21,8,0.621,0.0693,0.6709,0.0843
147,53,20,8,0.614,0.0579,0.6487,0.0874
148,52,19,7,0.6175,0.0661,0.6636,0.0894
149,51,19,7,0.6105,0.0649,0.6589,0.0844
150,50,18,7,0.608,0.0681,0.6592,0.0877
151,49,18,7,0.607,0.0592,0.6436,0.0854
152,48,17,7,0.622,0.0672,0.657,0.0837
153,47,17,7,0.6115,0.0655,0.6646,0.09
154,46,17,7,0.6175,0.0672,0.648,0.0818
155,45,16,7,0.6035,0.0549,0.6434,0.0697
156,44,16,7,0.6225,0.0701,0.6627,0.097
157,43,15,7,0.6045,0.0652,0.6474,0.0906
158,42,15,7,0.613,0.0643,0.6549,0.0794
159,41,14,7,0.616,0.0644,0.659,0.0736
160,40,14,6,0.6145,0.0614,0.6566,0.0781
161,39,14,6,0.611,0.0646,0.6598,0.0871
162,38,14,6,0.6135,0.0663,0.6529,0.0946
