timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,55,0.9968,0.0061,0.6626,0.0937
2,198,98,55,0.9978,0.0054,0.6456,0.0879
3,197,98,55,0.9963,0.0067,0.6557,0.091
4,196,98,56,0.9971,0.006,0.6436,0.0844
5,195,98,56,0.9971,0.0064,0.6603,0.0819
6,194,98,56,0.9969,0.0059,0.6664,0.0891
7,193,98,56,0.9973,0.0051,0.6662,0.0816
8,192,98,56,0.9963,0.0069,0.6507,0.0824
9,191,98,56,0.9978,0.0052,0.6567,0.0853
10,190,98,57,0.9973,0.0063,0.6351,0.0815
11,189,98,57,0.9975,0.0052,0.6506,0.0856
12,188,98,57,0.9957,0.0076,0.6531,0.0854
13,187,98,57,0.9979,0.0053,0.6612,0.0737
14,186,98,57,0.9975,0.0055,0.6579,0.0805
15,185,98,57,0.9973,0.0055,0.6687,0.0794
16,184,98,57,0.9979,0.0052,0.6502,0.0909
17,183,98,57,0.997,0.0062,0.6695,0.0707
18,182,98,57,0.9969,0.0056,0.6448,0.0875
19,181,98,57,0.9969,0.0061,0.6451,0.0789
20,180,98,57,0.9968,0.006,0.6637,0.0858
21,179,98,57,0.9968,0.006,0.6513,0.0741
22,178,98,57,0.9968,0.0055,0.6648,0.0932
23,177,98,57,0.9975,0.0048,0.6583,0.0964
24,176,98,57,0.9972,0.0065,0.6567,0.0784
25,175,98,57,0.9969,0.0054,0.6541,0.0869
26,174,98,57,0.9959,0.0071,0.6796,0.084
27,173,98,57,0.9955,0.0077,0.6501,0.0866
28,172,98,57,0.9977,0.0056,0.6573,0.0796
29,171,98,57,0.998,0.0051,0.6644,0.0908
30,170,98,57,0.9977,0.0051,0.6631,0.0832
31,169,98,57,0.9971,0.0062,0.6531,0.088
32,168,98,57,0.9974,0.0056,0.6518,0.088
33,167,98,57,0.9974,0.005,0.6523,0.0886
34,166,98,57,0.9971,0.0053,0.6497,0.0792
35,165,98,57,0.9974,0.0058,0.6557,0.0996
36,164,98,57,0.9976,0.0053,0.6413,0.0713
37,163,98,57,0.9971,0.0055,0.6683,0.0764
38,162,98,57,0.9971,0.0059,0.6487,0.082
39,161,98,57,0.9968,0.0065,0.6595,0.0868
40,160,98,57,0.9974,0.0054,0.6545,0.0884
41,159,98,57,0.9961,0.0068,0.6611,0.0833
42,158,98,57,0.9974,0.0054,0.649,0.0824
43,157,98,57,0.9968,0.0063,0.6661,0.0847
44,156,97,57,0.9974,0.0054,0.6562,0.085
45,155,96,57,0.9972,0.006,0.6609,0.0876
46,154,95,57,0.9969,0.0059,0.6627,0.0913
47,153,94,57,0.9965,0.0067,0.6671,0.0816
48,152,93,57,0.9983,0.0045,0.6739,0.0764
49,151,92,56,0.9855,0.0292,0.6471,0.089
50,150,91,56,0.9852,0.0311,0.643,0.0862
51,149,90,55,0.9808,0.0332,0.6561,0.0922
52,148,89,55,0.981,0.0236,0.6589,0.0842
53,147,88,55,0.9784,0.0263,0.6536,0.0822
54,146,87,55,0.9757,0.0269,0.6498,0.0782
55,145,86,55,0.9754,0.0281,0.6534,0.0807
56,144,85,55,0.9752,0.0279,0.6564,0.0772
57,143,84,55,0.9675,0.0304,0.6573,0.084
58,142,83,55,0.9528,0.0278,0.6521,0.0901
59,141,82,54,0.9513,0.0319,0.6503,0.0835
60,140,81,53,0.934,0.0396,0.6446,0.0816
61,139,80,52,0.9371,0.0345,0.6643,0.0841
62,138,79,51,0.9366,0.0409,0.649,0.0924
63,137,78,50,0.9383,0.0397,0.6522,0.0909
64,136,77,50,0.9376,0.0399,0.6554,0.0785
65,135,76,49,0.9301,0.0417,0.6602,0.0806
66,134,75,48,0.9279,0.0384,0.6367,0.0788
67,133,74,47,0.9277,0.0404,0.641,0.0811
68,132,73,47,0.9215,0.0386,0.6591,0.0828
69,131,72,46,0.9221,0.0379,0.6393,0.0859
70,130,71,46,0.9201,0.0364,0.6596,0.0948
71,129,70,45,0.926,0.0384,0.6642,0.0955
72,128,70,45,0.9188,0.0352,0.6626,0.0743
