timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,55,0.9872,0.0148,0.6464,0.091
2,198,98,55,0.9859,0.0156,0.6529,0.0851
3,197,98,55,0.9875,0.0137,0.6573,0.0788
4,196,98,56,0.9888,0.012,0.6604,0.0834
5,195,98,56,0.9893,0.0133,0.657,0.0876
6,194,98,56,0.9885,0.0155,0.656,0.0706
7,193,98,56,0.9881,0.0138,0.677,0.0873
8,192,98,56,0.9865,0.0134,0.6704,0.0762
9,191,98,56,0.9883,0.0127,0.6574,0.0843
10,190,98,57,0.989,0.0139,0.6575,0.0777
11,189,98,57,0.9852,0.0162,0.6615,0.074
12,188,98,57,0.988,0.0156,0.6566,0.0896
13,187,98,57,0.9878,0.0119,0.6692,0.0929
14,186,98,57,0.9863,0.016,0.6575,0.0717
15,185,98,57,0.9883,0.0137,0.6613,0.0812
16,184,98,57,0.9896,0.0129,0.6523,0.0867
17,183,98,57,0.9876,0.0126,0.658,0.0918
18,182,98,57,0.9861,0.0158,0.6464,0.0767
19,181,98,57,0.9894,0.0115,0.67,0.0818
20,180,98,57,0.9866,0.0134,0.6718,0.074
21,179,98,57,0.988,0.0147,0.656,0.0855
22,178,98,57,0.9887,0.0115,0.6524,0.0829
23,177,98,57,0.9882,0.0135,0.6563,0.0805
24,176,98,57,0.9886,0.0134,0.6588,0.0869
25,175,98,57,0.9858,0.0148,0.6695,0.0832
26,174,98,57,0.9904,0.0123,0.6752,0.0849
27,173,98,57,0.9878,0.0143,0.6593,0.0818
28,172,98,57,0.9891,0.0115,0.6458,0.0838
29,171,98,57,0.9852,0.0157,0.6641,0.0762
30,170,98,57,0.988,0.0117,0.6499,0.0921
31,169,98,57,0.9893,0.0119,0.6561,0.0822
32,168,98,57,0.9882,0.0128,0.6629,0.0845
33,167,98,57,0.9888,0.0131,0.6478,0.0786
34,166,98,57,0.9846,0.0147,0.6622,0.0888
35,165,98,57,0.9876,0.0143,0.6469,0.0884
36,164,98,57,0.9896,0.0128,0.6639,0.0931
37,163,98,57,0.9837,0.0149,0.6607,0.0744
38,162,98,57,0.99,0.0134,0.6529,0.0893
39,161,98,57,0.9882,0.0134,0.6565,0.0842
40,160,98,57,0.9891,0.0119,0.6648,0.0792
41,159,98,57,0.9882,0.014,0.6753,0.0808
42,158,98,57,0.9873,0.0146,0.649,0.0787
43,157,98,57,0.9859,0.015,0.6456,0.0891
44,156,97,57,0.9859,0.0159,0.667,0.0834
45,155,96,57,0.9884,0.0125,0.6441,0.0798
46,154,95,57,0.9878,0.0132,0.6572,0.0795
47,153,94,57,0.9869,0.0145,0.6531,0.0749
48,152,93,57,0.9885,0.0139,0.6471,0.0896
49,151,92,56,0.9676,0.0379,0.6548,0.0806
50,150,91,56,0.9739,0.0303,0.6543,0.0869
51,149,90,55,0.9707,0.0315,0.6531,0.0768
52,148,89,55,0.9625,0.0315,0.6525,0.0819
53,147,88,55,0.9656,0.0319,0.6415,0.0854
54,146,87,55,0.9649,0.0288,0.6635,0.0865
55,145,86,55,0.9578,0.0375,0.6455,0.0923
56,144,85,55,0.9493,0.0334,0.6587,0.0786
57,143,84,55,0.9506,0.034,0.6744,0.0877
58,142,83,55,0.9378,0.0377,0.6581,0.0949
59,141,82,54,0.9314,0.0347,0.6484,0.0837
60,140,81,53,0.9201,0.0355,0.6586,0.0814
61,139,80,52,0.9127,0.0476,0.656,0.0772
62,138,79,51,0.9187,0.0401,0.6631,0.0808
63,137,78,50,0.9055,0.0411,0.648,0.0761
64,136,77,50,0.9196,0.0478,0.6576,0.0865
65,135,76,49,0.9009,0.0487,0.6615,0.0787
66,134,75,48,0.9038,0.0434,0.655,0.0846
67,133,74,47,0.9047,0.0477,0.6483,0.0865
68,132,73,47,0.9045,0.0423,0.6638,0.1012
69,131,72,46,0.9112,0.0502,0.6734,0.094
70,130,71,46,0.9056,0.0451,0.6553,0.0861
71,129,70,45,0.9008,0.0452,0.6623,0.0811
72,128,70,45,0.9067,0.0444,0.6517,0.0868
73,127,69,44,0.8958,0.0445,0.6594,0.0785
74,126,68,43,0.8854,0.0428,0.6769,0.0803
75,125,67,42,0.8772,0.0453,0.6642,0.0921
76,124,66,42,0.8665,0.0386,0.6467,0.0944
77,123,65,41,0.8539,0.0405,0.6541,0.0814
78,122,64,40,0.8619,0.042,0.6793,0.0889
79,121,63,39,0.8673,0.0447,0.6557,0.0798
80,120,62,38,0.853,0.0493,0.6574,0.0827
81,119,61,37,0.8621,0.0419,0.6465,0.0864
82,118,60,37,0.855,0.0454,0.6601,0.0838
83,117,59,36,0.8497,0.0483,0.6499,0.0826
84,116,58,35,0.8299,0.0568,0.6433,0.0746
85,115,57,34,0.8352,0.0506,0.653,0.0894
86,114,56,33,0.832,0.0503,0.6582,0.1017
87,113,55,32,0.815,0.0487,0.6564,0.0846
88,112,54,31,0.8157,0.0492,0.6522,0.0827
89,111,53,30,0.8115,0.0497,0.6555,0.0832
90,110,52,30,0.7959,0.0531,0.6559,0.0882
91,109,51,29,0.7988,0.0551,0.671,0.0693
92,108,50,28,0.7908,0.0476,0.6445,0.0786
93,107,50,28,0.7781,0.0546,0.6543,0.0991
94,106,49,28,0.7676,0.0625,0.663,0.0943
95,105,48,27,0.7655,0.0535,0.648,0.0799
96,104,47,27,0.7529,0.0596,0.6636,0.083
97,103,46,27,0.7516,0.0642,0.6445,0.092
98,102,45,27,0.7467,0.0645,0.6641,0.0787
99,101,44,27,0.7457,0.0562,0.6526,0.0756
100,100,43,27,0.7445,0.0693,0.6574,0.0808
101,99,42,26,0.743,0.067,0.6763,0.085
102,98,41,26,0.742,0.0667,0.6486,0.0885
103,97,41,26,0.7403,0.0627,0.6632,0.0731
104,96,40,26,0.7252,0.0658,0.6597,0.0915
