timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,19,1,0.6323,0.0619,0.6561,0.0849
2,198,19,1,0.6399,0.0606,0.6636,0.08
3,197,19,1,0.6386,0.061,0.6491,0.0721
4,196,19,1,0.6471,0.0735,0.6481,0.0828
5,195,18,1,0.6377,0.0713,0.6622,0.0875
6,194,17,1,0.6326,0.062,0.6532,0.0738
7,193,17,1,0.6249,0.0618,0.66,0.0929
8,192,17,1,0.6537,0.0697,0.6699,0.0792
9,191,17,1,0.6322,0.064,0.655,0.0801
10,190,17,1,0.6384,0.0705,0.6499,0.0864
11,189,17,1,0.6546,0.0633,0.6645,0.0674
12,188,16,1,0.6359,0.0648,0.6639,0.0823
13,187,16,1,0.64,0.0608,0.6589,0.0804
14,186,16,1,0.6389,0.067,0.6661,0.0823
15,185,16,1,0.6364,0.0755,0.6521,0.0858
16,184,15,1,0.6295,0.0667,0.6676,0.0833
17,183,15,1,0.6315,0.0618,0.6525,0.0743
18,182,15,1,0.6336,0.0697,0.6565,0.0933
19,181,15,1,0.6241,0.0613,0.6578,0.0837
20,180,15,1,0.6215,0.0616,0.6729,0.0895
21,179,15,1,0.6198,0.0548,0.644,0.084
22,178,14,1,0.6206,0.0578,0.6346,0.0885
23,177,14,1,0.6246,0.0607,0.655,0.0756
24,176,14,1,0.6157,0.063,0.6579,0.0889
25,175,14,1,0.6077,0.0723,0.6581,0.0953
26,174,14,1,0.6069,0.053,0.657,0.0797
27,173,14,1,0.6214,0.0586,0.6576,0.0817
28,172,14,1,0.612,0.0556,0.6592,0.0894
29,171,14,1,0.6231,0.0692,0.6493,0.0884
30,170,14,1,0.62,0.0652,0.6585,0.0906
31,169,14,1,0.6075,0.058,0.6462,0.0743
32,168,14,1,0.616,0.0689,0.6619,0.0925
33,167,14,1,0.607,0.0604,0.6421,0.0862
34,166,14,1,0.6085,0.0648,0.6607,0.097
35,165,14,1,0.6165,0.0667,0.6566,0.0925
36,164,14,1,0.615,0.0763,0.6515,0.0846
37,163,14,1,0.609,0.0676,0.6529,0.0895
38,162,14,1,0.62,0.0678,0.656,0.0869
39,161,14,1,0.604,0.0569,0.6414,0.0825
40,160,14,1,0.6165,0.0656,0.6591,0.0832
41,159,14,1,0.594,0.0589,0.6354,0.0833
42,158,13,1,0.6205,0.0728,0.673,0.0978
43,157,13,1,0.6215,0.0661,0.6621,0.0832
44,156,13,1,0.6215,0.0617,0.665,0.0795
45,155,13,1,0.606,0.0601,0.6569,0.0884
46,154,12,1,0.6085,0.0583,0.6456,0.091
47,153,12,1,0.618,0.0665,0.6677,0.0938
48,152,11,1,0.605,0.0602,0.6551,0.0825
49,151,11,1,0.613,0.065,0.6616,0.0838
50,150,11,1,0.617,0.0683,0.6514,0.0857
51,149,11,1,0.6155,0.0577,0.6535,0.0801
52,148,11,1,0.604,0.059,0.6523,0.0713
53,147,11,1,0.6145,0.0567,0.661,0.0803
54,146,10,1,0.6115,0.0663,0.6536,0.0792
55,145,10,1,0.614,0.0557,0.6493,0.0933
56,144,9,1,0.612,0.0588,0.6491,0.0795
57,143,9,1,0.611,0.0594,0.6648,0.0861
58,142,9,1,0.6135,0.0685,0.6719,0.0906
59,141,9,1,0.6065,0.0577,0.65,0.0882
60,140,9,1,0.615,0.0661,0.6671,0.0919
61,139,9,1,0.615,0.0626,0.662,0.0805
62,138,9,1,0.6185,0.0658,0.6587,0.0813
63,137,9,1,0.6135,0.0696,0.6547,0.0825
64,136,9,1,0.6245,0.0712,0.6628,0.0799
65,135,9,1,0.6055,0.0583,0.6512,0.0788
66,134,9,1,0.6,0.0574,0.649,0.0824
67,133,9,1,0.625,0.0676,0.654,0.0942
68,132,8,1,0.607,0.06,0.6606,0.0893
69,131,8,1,0.6125,0.0642,0.661,0.0964
70,130,8,1,0.614,0.0686,0.6509,0.0857
71,129,7,1,0.61,0.0644,0.6602,0.0879
72,128,6,1,0.6155,0.0681,0.6527,0.0837
73,127,6,1,0.6225,0.0597,0.6652,0.0741
74,126,6,1,0.609,0.0606,0.6444,0.0809
75,125,6,1,0.612,0.0617,0.6524,0.0881
76,124,6,1,0.6164,0.0646,0.653,0.083
77,123,6,1,0.6135,0.0623,0.6539,0.0946
78,122,6,1,0.619,0.0676,0.6592,0.0799
79,121,6,1,0.6085,0.0539,0.6647,0.0821
80,120,6,1,0.6144,0.0564,0.6532,0.0905
81,119,6,1,0.6099,0.0637,0.662,0.0893
82,118,6,1,0.6089,0.0516,0.657,0.0839
83,117,6,1,0.6037,0.0588,0.6561,0.0819
84,116,6,1,0.6115,0.0619,0.6629,0.095
85,115,6,1,0.6098,0.054,0.6518,0.0752
86,114,5,1,0.6045,0.0563,0.6525,0.0877
87,113,5,1,0.605,0.0558,0.6551,0.082
88,112,5,1,0.6144,0.0597,0.6519,0.0864
89,111,5,1,0.6061,0.0575,0.6608,0.0856
90,110,5,1,0.6075,0.0574,0.6643,0.0842
91,109,5,1,0.6047,0.0658,0.6487,0.0835
92,108,5,1,0.6017,0.0602,0.6613,0.0876
93,107,5,1,0.6023,0.0565,0.6503,0.0908
94,106,5,1,0.5887,0.0517,0.6605,0.0826
95,105,5,1,0.5951,0.0577,0.6548,0.0768
96,104,5,1,0.6035,0.0666,0.6696,0.0884
97,103,5,1,0.6023,0.0612,0.6595,0.0811
98,102,5,1,0.5986,0.0634,0.6619,0.0895
99,101,5,1,0.5992,0.0643,0.6666,0.0848
100,100,5,1,0.5889,0.063,0.6475,0.0814
101,99,5,1,0.5915,0.0585,0.6583,0.0819
102,98,5,1,0.5897,0.0535,0.6453,0.0792
103,97,5,1,0.5802,0.0535,0.6541,0.0864
104,96,5,1,0.6035,0.0705,0.6671,0.0876
105,95,5,1,0.5845,0.0597,0.6526,0.0817
106,94,5,1,0.5845,0.0601,0.6607,0.0794
107,93,5,1,0.5993,0.0598,0.6487,0.0763
108,92,5,1,0.5917,0.0643,0.6597,0.076
