timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,55,0.9976,0.0043,0.6647,0.0818
2,198,98,55,0.9979,0.0048,0.6397,0.0866
3,197,98,55,0.997,0.007,0.6465,0.0872
4,196,98,56,0.9977,0.0065,0.6699,0.077
5,195,98,56,0.9971,0.0071,0.6373,0.0801
6,194,98,56,0.997,0.0082,0.6724,0.0844
7,193,98,56,0.9974,0.0091,0.6665,0.0798
8,192,98,56,0.9964,0.0099,0.6786,0.0836
9,191,98,56,0.9972,0.0068,0.6674,0.08
10,190,98,57,0.9983,0.0043,0.649,0.0846
11,189,98,57,0.9976,0.0049,0.6654,0.0808
12,188,98,57,0.9977,0.0058,0.6463,0.0803
13,187,98,57,0.9969,0.009,0.6612,0.0857
14,186,98,57,0.998,0.0047,0.6661,0.0842
15,185,98,57,0.9978,0.0072,0.6496,0.0915
16,184,98,57,0.9982,0.0054,0.6514,0.0782
17,183,98,57,0.9974,0.0082,0.6478,0.0869
18,182,98,57,0.9968,0.009,0.6511,0.0804
19,181,98,57,0.9972,0.0083,0.656,0.0927
20,180,98,57,0.9977,0.0058,0.6355,0.0878
21,179,98,57,0.9965,0.0086,0.6429,0.0815
22,178,98,57,0.9971,0.0067,0.6549,0.0835
23,177,98,57,0.9971,0.0073,0.6507,0.087
24,176,98,57,0.9973,0.0075,0.6513,0.0817
25,175,98,57,0.9983,0.0038,0.6672,0.081
26,174,98,57,0.9973,0.008,0.6627,0.0914
27,173,98,57,0.9972,0.0057,0.6576,0.0772
28,172,98,57,0.9975,0.0073,0.6638,0.0773
29,171,98,57,0.9979,0.0045,0.6538,0.0767
30,170,98,57,0.997,0.007,0.6629,0.0873
31,169,98,57,0.997,0.0075,0.6481,0.0831
32,168,98,57,0.9976,0.0063,0.6567,0.0926
33,167,98,57,0.997,0.0077,0.6546,0.0974
34,166,98,57,0.9973,0.008,0.6731,0.0803
35,165,98,57,0.9981,0.0044,0.6677,0.0792
36,164,98,57,0.997,0.0073,0.6541,0.0786
37,163,98,57,0.9976,0.0053,0.6493,0.0806
38,162,98,57,0.9987,0.0048,0.6488,0.0734
39,161,98,57,0.9966,0.0091,0.6475,0.0875
40,160,98,57,0.9981,0.0048,0.6604,0.0872
41,159,98,57,0.9955,0.0105,0.6593,0.0837
42,158,98,57,0.9981,0.0054,0.6592,0.0977
43,157,98,57,0.9976,0.0065,0.6578,0.0832
44,156,97,57,0.9962,0.0094,0.6675,0.0799
45,155,96,57,0.9975,0.0046,0.6609,0.1023
46,154,95,57,0.996,0.011,0.6588,0.0885
47,153,94,57,0.9987,0.0034,0.6629,0.0915
48,152,93,57,0.9923,0.0072,0.6585,0.0833
49,151,92,56,0.9815,0.0294,0.6606,0.0848
50,150,91,56,0.9753,0.0327,0.6619,0.0689
51,149,90,55,0.9753,0.0342,0.6677,0.0856
52,148,89,55,0.9752,0.0254,0.6392,0.0786
53,147,88,55,0.9828,0.0229,0.658,0.074
54,146,87,55,0.9711,0.0313,0.6593,0.0875
55,145,86,55,0.9687,0.0275,0.6724,0.0874
56,144,85,55,0.9648,0.0292,0.6655,0.0909
57,143,84,55,0.9647,0.0303,0.6737,0.0855
58,142,83,55,0.9477,0.0329,0.6643,0.0875
59,141,82,54,0.9508,0.0315,0.6509,0.0902
60,140,81,53,0.9369,0.035,0.6594,0.0867
61,139,80,52,0.9285,0.0355,0.6802,0.0861
62,138,79,51,0.9282,0.0426,0.6539,0.0925
63,137,78,50,0.9309,0.0349,0.659,0.0833
64,136,77,50,0.9357,0.0361,0.6537,0.0771
65,135,76,49,0.9218,0.0387,0.6433,0.0823
66,134,75,48,0.9148,0.0395,0.6506,0.0946
67,133,74,47,0.9133,0.0421,0.6583,0.086
68,132,73,47,0.9138,0.0389,0.6656,0.0809
69,131,72,46,0.9102,0.0403,0.6597,0.081
70,130,71,46,0.9164,0.0422,0.6566,0.092
71,129,70,45,0.919,0.0419,0.6463,0.0804
72,128,70,45,0.9178,0.0424,0.6671,0.0789
73,127,69,44,0.9164,0.0407,0.631,0.0946
74,126,68,43,0.894,0.0422,0.6611,0.0793
75,125,67,42,0.881,0.0413,0.6566,0.0757
76,124,66,42,0.8754,0.0366,0.6551,0.0896
77,123,65,41,0.8684,0.0392,0.6672,0.0915
78,122,64,40,0.8714,0.0469,0.668,0.0818
79,121,63,39,0.8629,0.047,0.6443,0.0856
80,120,62,38,0.8663,0.046,0.6578,0.0808
81,119,61,37,0.8632,0.0456,0.6587,0.078
