timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,55,0.9941,0.008,0.6554,0.0823
2,198,98,55,0.9929,0.0097,0.6581,0.0852
3,197,98,55,0.9937,0.0081,0.6473,0.0802
4,196,98,56,0.9939,0.0084,0.6582,0.0792
5,195,98,56,0.9927,0.0085,0.6411,0.0808
6,194,98,56,0.9925,0.0096,0.6534,0.093
7,193,98,56,0.9914,0.0096,0.6647,0.0883
8,192,98,56,0.9907,0.0119,0.6529,0.0834
9,191,98,56,0.9918,0.0094,0.6526,0.0797
10,190,98,57,0.9945,0.0083,0.6494,0.0803
11,189,98,57,0.9939,0.0081,0.6489,0.0862
12,188,98,57,0.9934,0.0092,0.6774,0.0768
13,187,98,57,0.9935,0.0091,0.6556,0.079
14,186,98,57,0.9942,0.0083,0.6641,0.0893
15,185,98,57,0.9917,0.011,0.673,0.0863
16,184,98,57,0.9907,0.0109,0.634,0.0837
17,183,98,57,0.9916,0.0116,0.6549,0.0881
18,182,98,57,0.9931,0.0101,0.6666,0.0919
19,181,98,57,0.992,0.0103,0.6516,0.0712
20,180,98,57,0.9924,0.0091,0.6721,0.0796
21,179,98,57,0.9932,0.0101,0.6536,0.0879
22,178,98,57,0.9929,0.0084,0.6542,0.0888
23,177,98,57,0.9936,0.0089,0.6591,0.084
24,176,98,57,0.994,0.0084,0.6482,0.0836
25,175,98,57,0.9934,0.0087,0.6553,0.082
26,174,98,57,0.9926,0.009,0.664,0.0879
27,173,98,57,0.9918,0.0097,0.6537,0.0853
28,172,98,57,0.9921,0.0096,0.6563,0.0817
29,171,98,57,0.9919,0.0105,0.6621,0.0852
30,170,98,57,0.9915,0.0094,0.6388,0.0858
31,169,98,57,0.9933,0.0096,0.6349,0.0773
32,168,98,57,0.9927,0.0103,0.6513,0.0735
33,167,98,57,0.9934,0.0099,0.6531,0.0887
34,166,98,57,0.9939,0.0076,0.6471,0.0803
35,165,98,57,0.9926,0.0084,0.6514,0.088
36,164,98,57,0.9922,0.0095,0.6456,0.095
37,163,98,57,0.9936,0.0094,0.6565,0.0828
38,162,98,57,0.9935,0.0086,0.6763,0.0876
39,161,98,57,0.9917,0.0101,0.6557,0.082
40,160,98,57,0.9933,0.0087,0.6475,0.0861
41,159,98,57,0.9933,0.008,0.6481,0.0759
42,158,98,57,0.9914,0.0104,0.6437,0.0856
43,157,98,57,0.993,0.0098,0.6487,0.076
44,156,97,57,0.9934,0.0093,0.6616,0.0921
45,155,96,57,0.9933,0.0086,0.6547,0.0765
46,154,95,57,0.9927,0.009,0.6517,0.0847
47,153,94,57,0.9927,0.0088,0.6602,0.0894
48,152,93,57,0.9943,0.0086,0.6665,0.0861
49,151,92,56,0.9735,0.0285,0.6555,0.0815
50,150,91,56,0.9672,0.0369,0.654,0.0916
51,149,90,55,0.9748,0.0279,0.6615,0.0818
52,148,89,55,0.9738,0.0287,0.6401,0.0791
53,147,88,55,0.9772,0.0241,0.6643,0.078
54,146,87,55,0.9677,0.0266,0.6552,0.0775
55,145,86,55,0.9622,0.0294,0.6597,0.0814
56,144,85,55,0.956,0.0348,0.6614,0.0762
57,143,84,55,0.9556,0.0273,0.6501,0.0889
58,142,83,55,0.9376,0.0347,0.6537,0.0772
59,141,82,54,0.9412,0.0321,0.6541,0.0752
60,140,81,53,0.9334,0.0382,0.6673,0.0779
61,139,80,52,0.9168,0.035,0.6529,0.0779
62,138,79,51,0.9194,0.0422,0.6644,0.0782
63,137,78,50,0.9251,0.0349,0.6441,0.0831
64,136,77,50,0.9217,0.0399,0.6567,0.0917
65,135,76,49,0.9129,0.0403,0.6564,0.0808
66,134,75,48,0.9118,0.0426,0.6582,0.0785
67,133,74,47,0.9115,0.0403,0.6632,0.0815
68,132,73,47,0.9208,0.0427,0.6547,0.0846
69,131,72,46,0.9149,0.0414,0.6512,0.0822
70,130,71,46,0.916,0.0455,0.6485,0.0888
