timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,19,1,0.6326,0.0567,0.6543,0.0902
2,198,19,1,0.643,0.0699,0.6587,0.0784
3,197,19,1,0.6383,0.0622,0.6563,0.0866
4,196,19,1,0.6401,0.0679,0.6539,0.0833
5,195,18,1,0.6377,0.0618,0.6485,0.0801
6,194,17,1,0.6306,0.0699,0.6532,0.09
7,193,17,1,0.6392,0.0678,0.6643,0.0755
8,192,17,1,0.6443,0.0622,0.6652,0.0774
9,191,17,1,0.6374,0.0559,0.6393,0.0692
10,190,17,1,0.6297,0.0621,0.6515,0.0736
11,189,17,1,0.6392,0.0703,0.6519,0.0817
12,188,16,1,0.6394,0.0656,0.6588,0.089
13,187,16,1,0.6264,0.0664,0.6465,0.0755
14,186,16,1,0.6185,0.0636,0.6407,0.0836
15,185,16,1,0.6324,0.0593,0.6562,0.0806
16,184,15,1,0.6284,0.0595,0.6487,0.0828
17,183,15,1,0.6177,0.0597,0.6458,0.0829
18,182,15,1,0.6383,0.0652,0.6549,0.0861
19,181,15,1,0.6188,0.0637,0.6378,0.074
20,180,15,1,0.6248,0.0519,0.6667,0.0856
21,179,15,1,0.6241,0.0587,0.6676,0.0804
22,178,14,1,0.6149,0.0473,0.6549,0.0882
23,177,14,1,0.6133,0.057,0.6536,0.0738
24,176,14,1,0.6144,0.0655,0.6526,0.0923
25,175,14,1,0.6096,0.0608,0.6437,0.0772
26,174,14,1,0.6116,0.0566,0.6544,0.0851
27,173,14,1,0.6104,0.0628,0.6509,0.0815
28,172,14,1,0.6171,0.0631,0.6603,0.0898
29,171,14,1,0.6135,0.0692,0.6571,0.0841
30,170,14,1,0.607,0.0663,0.6463,0.0842
31,169,14,1,0.6235,0.0712,0.675,0.0829
32,168,14,1,0.618,0.0646,0.6594,0.0831
33,167,14,1,0.62,0.07,0.6569,0.0838
34,166,14,1,0.6115,0.0681,0.6622,0.0828
35,165,14,1,0.614,0.0689,0.6541,0.0967
36,164,14,1,0.619,0.0674,0.6673,0.0877
37,163,14,1,0.621,0.0633,0.6643,0.0868
38,162,14,1,0.6205,0.069,0.6577,0.0795
39,161,14,1,0.6115,0.0608,0.65,0.0947
40,160,14,1,0.6015,0.055,0.6434,0.0807
41,159,14,1,0.624,0.0695,0.6538,0.0798
42,158,13,1,0.627,0.0701,0.665,0.086
43,157,13,1,0.6165,0.0641,0.6572,0.0906
44,156,13,1,0.6085,0.0637,0.6558,0.0897
45,155,13,1,0.614,0.0617,0.6531,0.079
46,154,12,1,0.6135,0.0678,0.666,0.083
47,153,12,1,0.6105,0.0638,0.658,0.0857
48,152,11,1,0.608,0.0573,0.6651,0.0875
49,151,11,1,0.6275,0.0708,0.6779,0.0903
50,150,11,1,0.613,0.065,0.6593,0.0857
51,149,11,1,0.604,0.0577,0.6609,0.0897
52,148,11,1,0.613,0.0654,0.6619,0.0969
53,147,11,1,0.6045,0.0613,0.666,0.0843
54,146,10,1,0.6185,0.0594,0.6487,0.0732
55,145,10,1,0.6145,0.063,0.6713,0.0911
56,144,9,1,0.62,0.0707,0.662,0.0906
