timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,58,0.9984,0.0042,0.642,0.0816
2,198,98,58,0.9983,0.0038,0.662,0.0818
3,197,98,58,0.999,0.0033,0.6609,0.0752
4,196,98,58,0.9988,0.0038,0.6762,0.0852
5,195,98,58,0.9982,0.0038,0.6541,0.0858
6,194,98,58,0.9988,0.0032,0.6573,0.0783
7,193,98,58,0.9981,0.0044,0.6578,0.0888
8,192,98,58,0.9989,0.0034,0.6647,0.0791
9,191,98,58,0.9985,0.0038,0.648,0.0845
10,190,98,58,0.9982,0.0052,0.6491,0.0799
11,189,98,58,0.9982,0.0038,0.6481,0.0885
12,188,98,58,0.9983,0.0038,0.6638,0.0877
13,187,98,58,0.9981,0.0046,0.6577,0.0872
14,186,98,58,0.9983,0.0043,0.6655,0.0906
15,185,98,58,0.9988,0.0032,0.6517,0.0836
16,184,98,58,0.9981,0.0039,0.6555,0.0892
17,183,98,58,0.9984,0.0039,0.6459,0.0867
18,182,98,58,0.9992,0.0031,0.6617,0.0783
19,181,98,58,0.999,0.0033,0.6538,0.0923
20,180,98,58,0.9987,0.0036,0.655,0.0829
21,179,98,58,0.999,0.0033,0.6591,0.081
22,178,98,58,0.9984,0.0042,0.6606,0.0872
23,177,98,58,0.9981,0.0046,0.6392,0.0896
24,176,98,58,0.9983,0.0038,0.6577,0.0829
25,175,98,58,0.999,0.003,0.6486,0.0886
26,174,98,58,0.9987,0.0036,0.6501,0.0856
27,173,98,58,0.998,0.004,0.6493,0.0864
28,172,98,58,0.9979,0.0043,0.6522,0.0823
29,171,98,58,0.9987,0.0036,0.6597,0.0819
30,170,98,58,0.9982,0.0041,0.6565,0.0803
31,169,98,58,0.998,0.0042,0.661,0.0766
32,168,98,58,0.9989,0.0031,0.6576,0.0834
33,167,98,58,0.9982,0.0041,0.6601,0.0729
34,166,98,58,0.9986,0.0037,0.659,0.0828
35,165,98,58,0.9981,0.0039,0.6631,0.0774
36,164,98,58,0.9982,0.0041,0.6494,0.0938
37,163,98,58,0.9986,0.0037,0.6574,0.0819
38,162,98,58,0.9994,0.0024,0.6482,0.0919
39,161,98,58,0.9985,0.0046,0.6672,0.0769
40,160,98,58,0.9985,0.0036,0.6599,0.0957
