timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,55,0.9952,0.007,0.6515,0.0816
2,198,98,55,0.995,0.0062,0.663,0.0869
3,197,98,55,0.9931,0.0072,0.6368,0.0777
4,196,98,56,0.9947,0.007,0.6498,0.0726
5,195,98,56,0.9951,0.0066,0.661,0.0819
6,194,98,56,0.9953,0.0062,0.6642,0.0854
7,193,98,56,0.9929,0.009,0.6626,0.0862
8,192,98,56,0.995,0.0069,0.6609,0.0877
9,191,98,56,0.9939,0.0087,0.6576,0.087
10,190,98,57,0.9954,0.0062,0.6529,0.0839
11,189,98,57,0.9939,0.0075,0.6682,0.0841
12,188,98,57,0.9944,0.0071,0.657,0.0851
13,187,98,57,0.9938,0.0078,0.65,0.082
14,186,98,57,0.9956,0.0064,0.6609,0.0789
15,185,98,57,0.9937,0.0074,0.6528,0.0853
16,184,98,57,0.9948,0.0075,0.6591,0.0808
17,183,98,57,0.994,0.0065,0.672,0.081
18,182,98,57,0.9939,0.0072,0.6569,0.0866
19,181,98,57,0.995,0.0064,0.6732,0.0845
20,180,98,57,0.9936,0.0085,0.659,0.0852
21,179,98,57,0.994,0.0087,0.6732,0.0863
22,178,98,57,0.9944,0.0071,0.6596,0.0821
23,177,98,57,0.9933,0.0081,0.6547,0.0775
24,176,98,57,0.9947,0.0064,0.6403,0.0765
25,175,98,57,0.9944,0.0077,0.6838,0.0905
26,174,98,57,0.9953,0.0067,0.6685,0.0817
27,173,98,57,0.9948,0.0077,0.6547,0.087
28,172,98,57,0.9943,0.0083,0.6617,0.0861
29,171,98,57,0.9929,0.0085,0.6573,0.0794
30,170,98,57,0.9951,0.0081,0.6441,0.0807
31,169,98,57,0.994,0.0088,0.6593,0.0811
32,168,98,57,0.9951,0.0064,0.6678,0.0867
33,167,98,57,0.994,0.0071,0.6612,0.092
34,166,98,57,0.9956,0.0061,0.6586,0.0862
35,165,98,57,0.9936,0.0076,0.6558,0.078
36,164,98,57,0.9937,0.0077,0.6415,0.0872
37,163,98,57,0.9954,0.0061,0.6493,0.0841
38,162,98,57,0.9928,0.0084,0.6639,0.0816
39,161,98,57,0.995,0.0062,0.6501,0.0865
40,160,98,57,0.9951,0.007,0.6604,0.0981
41,159,98,57,0.9935,0.0074,0.6587,0.0776
42,158,98,57,0.9954,0.0062,0.6443,0.0785
43,157,98,57,0.9943,0.0071,0.6584,0.0931
44,156,97,57,0.9927,0.0093,0.6703,0.0767
45,155,96,57,0.9948,0.0073,0.6375,0.0703
46,154,95,57,0.994,0.0085,0.6744,0.0829
47,153,94,57,0.9949,0.007,0.6374,0.0804
48,152,93,57,0.9951,0.0071,0.644,0.0766
49,151,92,56,0.9806,0.0364,0.6578,0.0741
50,150,91,56,0.9863,0.032,0.6536,0.097
51,149,90,55,0.9825,0.0292,0.6517,0.0854
52,148,89,55,0.9776,0.0267,0.6578,0.0836
53,147,88,55,0.9746,0.0285,0.6526,0.0835
54,146,87,55,0.9758,0.0289,0.652,0.0753
55,145,86,55,0.968,0.0331,0.6575,0.089
56,144,85,55,0.967,0.0336,0.6641,0.0854
57,143,84,55,0.97,0.0287,0.6532,0.083
58,142,83,55,0.9462,0.0321,0.6634,0.0902
59,141,82,54,0.9443,0.0358,0.6512,0.0858
60,140,81,53,0.9379,0.037,0.6554,0.0865
61,139,80,52,0.9375,0.0378,0.6645,0.0865
62,138,79,51,0.9332,0.0432,0.6544,0.085
63,137,78,50,0.9272,0.043,0.6439,0.0813
64,136,77,50,0.9293,0.0402,0.6707,0.0753
65,135,76,49,0.9135,0.0472,0.6519,0.0752
66,134,75,48,0.9195,0.0382,0.6693,0.0834
67,133,74,47,0.9159,0.0417,0.6658,0.088
68,132,73,47,0.909,0.0428,0.6706,0.0935
69,131,72,46,0.9185,0.0428,0.6582,0.0992
70,130,71,46,0.9158,0.0439,0.6555,0.0832
71,129,70,45,0.9162,0.0434,0.6601,0.0816
72,128,70,45,0.9107,0.0442,0.6504,0.0767
73,127,69,44,0.9094,0.0455,0.6652,0.085
74,126,68,43,0.8994,0.037,0.6598,0.0825
75,125,67,42,0.8926,0.0427,0.6622,0.0831
76,124,66,42,0.876,0.0381,0.6551,0.0861
77,123,65,41,0.8798,0.0442,0.6669,0.0967
78,122,64,40,0.8699,0.0443,0.6615,0.0899
79,121,63,39,0.8698,0.0499,0.6659,0.0902
80,120,62,38,0.8691,0.0461,0.6598,0.0843
81,119,61,37,0.8717,0.0407,0.6582,0.0863
82,118,60,37,0.8732,0.0451,0.6455,0.085
83,117,59,36,0.8507,0.0461,0.6735,0.0821
84,116,58,35,0.8422,0.0525,0.6713,0.0878
85,115,57,34,0.8499,0.0519,0.6636,0.0885
86,114,56,33,0.8358,0.0523,0.6329,0.0794
87,113,55,32,0.8259,0.0515,0.6641,0.0848
88,112,54,31,0.8229,0.0459,0.6589,0.0847
89,111,53,30,0.8122,0.0421,0.6583,0.0894
90,110,52,30,0.8172,0.0492,0.6637,0.0819
91,109,51,29,0.8162,0.0568,0.6557,0.0843
92,108,50,28,0.7904,0.0475,0.6555,0.0936
93,107,50,28,0.786,0.0476,0.6573,0.0889
94,106,49,28,0.7755,0.0582,0.6612,0.086
95,105,48,27,0.7636,0.054,0.6542,0.0772
96,104,47,27,0.7621,0.0617,0.6596,0.082
97,103,46,27,0.7546,0.0509,0.6462,0.0806
98,102,45,27,0.7405,0.0607,0.6545,0.0769
99,101,44,27,0.7436,0.0577,0.6479,0.0835
100,100,43,27,0.7455,0.0642,0.6541,0.0883
101,99,42,26,0.7255,0.0702,0.649,0.0775
102,98,41,26,0.7309,0.0602,0.6407,0.0782
103,97,41,26,0.7323,0.0709,0.6647,0.0855
104,96,40,26,0.7467,0.0633,0.6727,0.0852
105,95,40,26,0.7318,0.0688,0.6482,0.0872
106,94,39,25,0.7182,0.0705,0.645,0.0736
107,93,38,25,0.7238,0.0595,0.6529,0.0857
108,92,38,25,0.7149,0.0712,0.6573,0.0827
109,91,37,25,0.7205,0.0682,0.661,0.0913
110,90,36,25,0.7098,0.0688,0.6588,0.0852
111,89,35,25,0.6951,0.0711,0.6658,0.0807
112,88,35,25,0.7048,0.0666,0.6654,0.0827
113,87,34,25,0.6857,0.075,0.6637,0.086
114,86,34,24,0.6958,0.0616,0.6515,0.0901
115,85,34,23,0.6902,0.0639,0.6554,0.087
116,84,33,22,0.6938,0.0663,0.6697,0.0845
117,83,32,21,0.6887,0.0541,0.6695,0.0817
118,82,32,20,0.666,0.0658,0.6538,0.0717
119,81,32,19,0.6684,0.0662,0.6513,0.0865
120,80,31,18,0.6587,0.0597,0.667,0.0838
121,79,31,17,0.6561,0.0637,0.6685,0.0791
122,78,31,17,0.6672,0.0615,0.6663,0.0773
123,77,30,16,0.6702,0.0608,0.6551,0.0842
124,76,30,15,0.669,0.0634,0.6575,0.0884
125,75,29,14,0.6455,0.0579,0.633,0.0752
126,74,29,13,0.6593,0.0645,0.6662,0.0922
127,73,29,12,0.6424,0.0514,0.6457,0.0827
128,72,28,11,0.651,0.0603,0.6673,0.083
129,71,28,11,0.6493,0.0625,0.6525,0.0803
130,70,28,10,0.6563,0.0648,0.6676,0.0842
131,69,27,10,0.6456,0.0553,0.6466,0.0765
132,68,26,10,0.6504,0.0664,0.6613,0.0937
133,67,26,9,0.6322,0.0682,0.6457,0.0839
134,66,25,9,0.6472,0.0647,0.6714,0.0918
135,65,25,9,0.6418,0.0622,0.6588,0.0771
136,64,25,9,0.638,0.055,0.6727,0.0816
137,63,25,8,0.6408,0.0678,0.6714,0.0875
138,62,24,8,0.6229,0.0621,0.6429,0.0907
139,61,24,8,0.6228,0.059,0.6549,0.0785
140,60,23,8,0.605,0.0599,0.6562,0.0836
141,59,23,8,0.607,0.0597,0.6653,0.0767
142,58,23,8,0.6045,0.0562,0.6562,0.0789
143,57,22,8,0.615,0.068,0.66,0.0842
144,56,22,8,0.616,0.0685,0.6487,0.0881
145,55,21,8,0.6155,0.0655,0.6533,0.0777
146,54,21,8,0.6125,0.0683,0.6424,0.0794
147,53,20,7,0.606,0.0609,0.6463,0.0848
148,52,19,7,0.6105,0.0584,0.6584,0.0831
149,51,19,7,0.61,0.0583,0.6476,0.0813
150,50,19,7,0.6205,0.0686,0.6579,0.0769
151,49,18,7,0.6225,0.0719,0.6695,0.0902
152,48,17,7,0.611,0.0635,0.6503,0.0771
153,47,17,7,0.628,0.0672,0.6781,0.0753
154,46,17,7,0.607,0.0612,0.6541,0.0865
155,45,16,7,0.614,0.057,0.6574,0.0833
156,44,16,7,0.609,0.0622,0.6519,0.0953
157,43,15,7,0.609,0.054,0.6467,0.0952
158,42,15,7,0.6175,0.0642,0.6548,0.0851
159,41,15,6,0.627,0.0756,0.6711,0.0944
160,40,14,6,0.6095,0.059,0.6568,0.09
161,39,14,6,0.6238,0.0737,0.6767,0.0859
162,38,14,6,0.6169,0.0639,0.6563,0.0807
163,37,13,6,0.6044,0.0616,0.6587,0.0864
164,36,13,6,0.5974,0.0485,0.6419,0.0868
165,35,13,6,0.6071,0.0672,0.6667,0.0799
166,34,13,6,0.6154,0.0585,0.6564,0.0807
167,33,12,6,0.6021,0.0656,0.6523,0.0825
168,32,12,6,0.6092,0.0629,0.6629,0.081
169,31,12,6,0.5974,0.0623,0.6448,0.0959
170,30,12,6,0.5914,0.0574,0.6535,0.0844
171,29,11,6,0.5905,0.0613,0.6431,0.0808
172,28,11,6,0.59,0.0768,0.6561,0.081
173,27,11,6,0.5995,0.074,0.6688,0.0797
174,26,11,6,0.591,0.063,0.656,0.0776
175,25,11,5,0.5915,0.0738,0.6566,0.085
176,24,10,5,0.5955,0.069,0.6533,0.08
177,23,10,5,0.6005,0.0709,0.6502,0.0834
178,22,10,5,0.5915,0.0797,0.6513,0.0845
179,21,10,5,0.595,0.0654,0.6461,0.085
180,20,10,5,0.603,0.0842,0.6527,0.0813
181,19,10,5,0.5941,0.0699,0.6548,0.0782
182,18,10,5,0.5959,0.0598,0.648,0.0826
183,17,10,5,0.6032,0.0681,0.6525,0.0998
184,16,9,5,0.6008,0.0604,0.6618,0.0862
185,15,9,5,0.6049,0.0714,0.6495,0.0894
186,14,9,5,0.5963,0.0664,0.6594,0.0912
187,13,9,5,0.5898,0.054,0.6503,0.0788
188,12,9,5,0.6042,0.0701,0.6588,0.0819
189,11,8,5,0.6005,0.0632,0.6533,0.0806
190,10,8,5,0.6114,0.0687,0.6608,0.0855
191,9,8,4,0.6042,0.0695,0.6611,0.0841
192,8,8,4,0.5946,0.0639,0.6583,0.0892
193,7,7,4,0.5931,0.0631,0.6641,0.0725
194,6,6,4,0.602,0.0769,0.6611,0.0886
195,5,5,4,0.5994,0.0743,0.664,0.0766
196,4,4,4,0.5959,0.0747,0.676,0.0875
197,3,3,3,0.594,0.0702,0.65,0.0748
198,2,2,2,0.5979,0.0734,0.662,0.0872
199,1,1,1,0.6035,0.0692,0.6606,0.0709
