timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,55,0.9991,0.0035,0.6501,0.0813
2,198,98,55,0.9971,0.0065,0.6475,0.0919
3,197,98,55,0.9985,0.0043,0.6539,0.0891
4,196,98,56,0.9985,0.0048,0.6481,0.075
5,195,98,56,0.9983,0.0049,0.661,0.0735
6,194,98,56,0.9984,0.0044,0.6592,0.087
7,193,98,56,0.998,0.0055,0.6587,0.0778
8,192,98,56,0.9982,0.0057,0.6583,0.0914
9,191,98,56,0.9991,0.0045,0.6612,0.0822
10,190,98,57,0.9975,0.0064,0.6459,0.0825
11,189,98,57,0.9987,0.0042,0.6626,0.0877
12,188,98,57,0.9987,0.0044,0.6488,0.0865
13,187,98,57,0.9982,0.0055,0.659,0.0865
14,186,98,57,0.9981,0.0066,0.6575,0.0841
15,185,98,57,0.9985,0.0043,0.6458,0.0769
16,184,98,57,0.9984,0.0052,0.6679,0.0786
17,183,98,57,0.9985,0.0043,0.636,0.0827
18,182,98,57,0.9986,0.0042,0.6519,0.0756
19,181,98,57,0.998,0.0053,0.6461,0.0792
20,180,98,57,0.9983,0.0049,0.6576,0.0914
21,179,98,57,0.9988,0.0038,0.6717,0.0901
22,178,98,57,0.9977,0.0053,0.6547,0.0819
23,177,98,57,0.9991,0.0032,0.6691,0.0736
24,176,98,57,0.9985,0.0054,0.6508,0.0799
25,175,98,57,0.9983,0.0055,0.6582,0.0822
26,174,98,57,0.9979,0.0053,0.6651,0.0898
27,173,98,57,0.9985,0.0052,0.6547,0.083
28,172,98,57,0.9976,0.0059,0.6584,0.08
29,171,98,57,0.9975,0.0059,0.6549,0.0836
30,170,98,57,0.9994,0.0024,0.6596,0.0757
31,169,98,57,0.9981,0.005,0.6468,0.0856
32,168,98,57,0.9983,0.0047,0.6677,0.0841
33,167,98,57,0.9982,0.0054,0.6665,0.0877
34,166,98,57,0.9989,0.004,0.6562,0.0804
35,165,98,57,0.9984,0.005,0.6603,0.0876
36,164,98,57,0.9986,0.0051,0.6432,0.09
37,163,98,57,0.9982,0.0055,0.6605,0.0778
38,162,98,57,0.999,0.0044,0.6537,0.0873
39,161,98,57,0.9984,0.0058,0.6512,0.0916
40,160,98,57,0.999,0.003,0.6523,0.0788
41,159,98,57,0.9987,0.0039,0.6426,0.0795
42,158,98,57,0.9976,0.0062,0.6579,0.0865
43,157,98,57,0.9987,0.0044,0.6517,0.0802
44,156,97,57,0.9982,0.0054,0.6484,0.0824
45,155,96,57,0.999,0.003,0.6431,0.0757
46,154,95,57,0.9986,0.0037,0.6671,0.0831
47,153,94,57,0.9992,0.0031,0.655,0.089
48,152,93,57,0.9992,0.0031,0.6353,0.081
49,151,92,56,0.9853,0.0351,0.656,0.0915
50,150,91,56,0.9856,0.0345,0.6612,0.0939
51,149,90,55,0.9783,0.0369,0.6461,0.0779
52,148,89,55,0.9792,0.0274,0.6524,0.0879
53,147,88,55,0.9816,0.0232,0.6493,0.0817
54,146,87,55,0.975,0.0299,0.6432,0.0874
55,145,86,55,0.971,0.0285,0.6483,0.0752
56,144,85,55,0.9577,0.0346,0.6615,0.0823
57,143,84,55,0.9607,0.0336,0.6599,0.0825
58,142,83,55,0.9501,0.0337,0.6617,0.0914
59,141,82,54,0.9425,0.0353,0.664,0.0867
60,140,81,53,0.9282,0.0384,0.6572,0.079
61,139,80,52,0.9327,0.0401,0.6574,0.0811
62,138,79,51,0.9371,0.043,0.6479,0.087
63,137,78,50,0.9307,0.0418,0.6402,0.0842
64,136,77,50,0.9264,0.0408,0.6634,0.0835
65,135,76,49,0.915,0.0455,0.6547,0.0778
66,134,75,48,0.9108,0.0419,0.6573,0.0768
67,133,74,47,0.9233,0.044,0.6682,0.0851
68,132,73,47,0.9134,0.0406,0.6621,0.0848
69,131,72,46,0.9128,0.0435,0.6671,0.0728
70,130,71,46,0.9179,0.0438,0.6514,0.0805
71,129,70,45,0.911,0.039,0.6506,0.0869
72,128,70,45,0.9141,0.0444,0.6563,0.0849
73,127,69,44,0.9135,0.0417,0.6763,0.0842
74,126,68,43,0.8964,0.0382,0.6526,0.0869
75,125,67,42,0.8846,0.0388,0.6589,0.0827
76,124,66,42,0.8758,0.0455,0.6714,0.0866
77,123,65,41,0.8597,0.0405,0.6483,0.084
78,122,64,40,0.8695,0.0408,0.657,0.0785
79,121,63,39,0.8726,0.0433,0.6576,0.0792
80,120,62,38,0.8704,0.0453,0.648,0.0775
81,119,61,37,0.8709,0.045,0.6529,0.0821
82,118,60,37,0.8657,0.0407,0.645,0.087
83,117,59,36,0.8551,0.0421,0.6645,0.079
84,116,58,35,0.8426,0.0526,0.6525,0.0801
85,115,57,34,0.8475,0.0497,0.6606,0.0948
86,114,56,33,0.8419,0.0545,0.662,0.0829
87,113,55,32,0.8211,0.0499,0.6638,0.0838
