timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,93,52,0.999,0.0033,0.6579,0.0782
2,198,93,52,0.998,0.0051,0.651,0.077
3,197,93,52,0.9991,0.0043,0.6567,0.0862
4,196,93,52,0.9982,0.0052,0.6607,0.0719
5,195,93,52,0.9987,0.0036,0.6571,0.0951
6,194,93,52,0.9981,0.0048,0.6497,0.0865
7,193,93,52,0.9985,0.0041,0.6658,0.0867
8,192,93,52,0.9985,0.0038,0.669,0.0838
9,191,93,52,0.9986,0.0045,0.671,0.0857
10,190,93,52,0.998,0.0047,0.6547,0.079
11,189,93,52,0.9975,0.0054,0.6516,0.0916
12,188,93,52,0.9986,0.0037,0.6584,0.0789
13,187,93,52,0.999,0.003,0.664,0.0895
14,186,93,52,0.9982,0.0043,0.647,0.0772
15,185,93,52,0.9984,0.0039,0.6576,0.0843
16,184,93,52,0.9981,0.0042,0.6438,0.0712
17,183,93,52,0.9987,0.0039,0.6572,0.0799
18,182,93,52,0.9991,0.0032,0.6628,0.0868
19,181,93,53,0.9985,0.0041,0.6581,0.0848
20,180,93,53,0.9979,0.0043,0.6615,0.0858
21,179,93,53,0.9981,0.0048,0.6525,0.0792
22,178,93,53,0.9978,0.0046,0.6464,0.0844
23,177,93,53,0.9978,0.0058,0.6611,0.0726
24,176,93,53,0.9979,0.0043,0.6498,0.0876
25,175,93,53,0.9981,0.0044,0.6576,0.084
26,174,93,53,0.9983,0.004,0.6422,0.0812
27,173,93,53,0.9988,0.0035,0.6578,0.0824
28,172,93,53,0.9982,0.0046,0.6615,0.0803
29,171,93,53,0.9981,0.0048,0.6642,0.0835
30,170,93,53,0.9976,0.0051,0.6549,0.08
31,169,93,53,0.998,0.0049,0.637,0.0842
32,168,93,53,0.9984,0.0042,0.6653,0.0907
33,167,93,53,0.998,0.0045,0.6465,0.0808
34,166,93,53,0.9982,0.0043,0.655,0.0806
35,165,93,53,0.998,0.0045,0.6611,0.0838
36,164,93,53,0.9982,0.0048,0.6436,0.0828
37,163,93,53,0.9986,0.0037,0.6634,0.0754
38,162,93,53,0.9986,0.004,0.6662,0.0793
39,161,93,54,0.9987,0.0036,0.6413,0.0887
40,160,93,54,0.9991,0.0029,0.659,0.086
41,159,93,54,0.999,0.0036,0.6623,0.0919
42,158,93,54,0.9985,0.0048,0.658,0.0896
43,157,93,54,0.9975,0.0052,0.6502,0.0753
44,156,93,54,0.998,0.0051,0.6568,0.0838
45,155,93,54,0.9975,0.0059,0.6536,0.0768
46,154,93,54,0.9983,0.0051,0.6529,0.0904
47,153,93,54,0.9986,0.0045,0.6486,0.0842
48,152,93,54,0.9983,0.0045,0.6581,0.0844
49,151,93,54,0.9982,0.0043,0.6651,0.0947
50,150,93,54,0.9984,0.0039,0.6541,0.0702
51,149,94,54,0.9975,0.0054,0.6551,0.0866
52,148,93,54,0.9977,0.0056,0.6544,0.0929
53,147,92,54,0.9985,0.0038,0.6459,0.0793
54,146,91,54,0.9985,0.0038,0.6588,0.0866
55,145,90,54,0.9982,0.0048,0.6584,0.0741
56,144,89,54,0.9981,0.0048,0.6598,0.0749
57,143,88,53,0.9883,0.0298,0.6609,0.0921
58,142,87,53,0.99,0.0266,0.6533,0.0885
59,141,86,52,0.988,0.0291,0.6556,0.0823
60,140,85,52,0.9838,0.0234,0.6645,0.087
61,139,84,52,0.9818,0.024,0.6426,0.0771
62,138,83,52,0.9835,0.0246,0.6596,0.0793
63,137,82,51,0.9729,0.0303,0.6514,0.0822
64,136,81,51,0.9767,0.0253,0.6434,0.0825
65,135,80,51,0.9696,0.0337,0.6512,0.0852
66,134,79,51,0.9593,0.0328,0.6386,0.0889
67,133,78,51,0.9458,0.0395,0.6761,0.0841
68,132,77,50,0.9358,0.0383,0.6598,0.0783
69,131,76,50,0.945,0.0379,0.6587,0.08
70,130,75,49,0.9459,0.0324,0.6546,0.0764
71,129,74,48,0.9421,0.0337,0.6712,0.0798
72,128,73,47,0.9229,0.0408,0.6678,0.0843
73,127,73,47,0.9355,0.0425,0.6377,0.0781
74,126,72,46,0.9221,0.0459,0.6647,0.0816
75,125,71,46,0.9222,0.0382,0.6654,0.086
76,124,70,45,0.9211,0.0401,0.6532,0.0916
77,123,69,45,0.9237,0.0376,0.659,0.089
78,122,68,44,0.9201,0.0373,0.6564,0.0757
79,121,67,44,0.9164,0.0401,0.6521,0.0803
80,120,66,43,0.9125,0.0424,0.6698,0.086
81,119,65,42,0.8963,0.0431,0.6593,0.0895
82,118,64,41,0.8795,0.0429,0.6502,0.0735
83,117,63,40,0.8702,0.051,0.6562,0.0899
84,116,62,39,0.874,0.0422,0.6518,0.0834
85,115,61,38,0.8617,0.0427,0.6504,0.0812
86,114,60,37,0.8705,0.049,0.6566,0.0797
87,113,59,36,0.8684,0.0458,0.6523,0.0841
88,112,58,36,0.8592,0.0464,0.6546,0.0907
89,111,57,35,0.86,0.0497,0.6536,0.0876
90,110,57,34,0.845,0.0497,0.6544,0.0879
91,109,56,33,0.852,0.0493,0.6714,0.0739
92,108,55,32,0.8246,0.0517,0.6638,0.0837
93,107,54,31,0.8289,0.0468,0.6664,0.0907
94,106,53,30,0.8212,0.0465,0.6535,0.087
95,105,52,30,0.8038,0.0517,0.6591,0.0912
