timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,58,0.9991,0.0029,0.6699,0.0828
2,198,98,58,0.9987,0.0034,0.6646,0.0802
3,197,98,58,0.9982,0.0038,0.6605,0.0763
4,196,98,58,0.9987,0.0034,0.6674,0.0718
5,195,98,58,0.9981,0.0039,0.6676,0.0833
6,194,98,58,0.9984,0.0037,0.636,0.0841
7,193,98,58,0.9988,0.0032,0.6598,0.0935
8,192,98,58,0.9985,0.0036,0.6401,0.0808
9,191,98,58,0.9986,0.0035,0.657,0.0762
10,190,98,58,0.9988,0.0032,0.6573,0.0784
11,189,98,58,0.9984,0.0037,0.6559,0.091
12,188,98,58,0.9986,0.0035,0.6638,0.0846
13,187,98,58,0.9976,0.0043,0.6593,0.0805
14,186,98,58,0.9983,0.0038,0.6554,0.0794
15,185,98,58,0.9989,0.0031,0.6569,0.0713
16,184,98,58,0.9982,0.0038,0.6551,0.0749
17,183,98,58,0.9983,0.0038,0.6565,0.0859
18,182,98,58,0.9986,0.0037,0.6617,0.0947
19,181,98,58,0.9978,0.0041,0.6594,0.0829
20,180,98,58,0.9992,0.0027,0.6616,0.0873
21,179,98,58,0.9985,0.0036,0.6388,0.0767
22,178,98,58,0.9991,0.0029,0.6638,0.0883
23,177,98,58,0.9988,0.0032,0.6543,0.0862
24,176,98,58,0.998,0.004,0.6469,0.0833
25,175,98,58,0.9983,0.0038,0.6588,0.0904
26,174,98,58,0.999,0.003,0.6634,0.0798
27,173,98,58,0.9988,0.0032,0.661,0.0862
28,172,98,58,0.999,0.003,0.6639,0.0855
29,171,98,58,0.9981,0.0039,0.6593,0.079
30,170,98,58,0.9987,0.0034,0.647,0.0864
31,169,98,58,0.9989,0.0031,0.6561,0.0909
32,168,98,58,0.9986,0.0035,0.6633,0.0856
33,167,98,58,0.9979,0.0041,0.6554,0.0784
34,166,98,58,0.9979,0.0041,0.6674,0.0846
35,165,98,58,0.9983,0.0038,0.6548,0.0859
36,164,98,58,0.9981,0.0039,0.658,0.0852
37,163,98,58,0.9986,0.0035,0.6525,0.0794
38,162,98,58,0.9985,0.0036,0.6644,0.0764
39,161,98,58,0.9986,0.0035,0.6676,0.0734
40,160,98,58,0.9979,0.0041,0.6519,0.0797
41,159,98,58,0.9992,0.0027,0.6541,0.0861
42,158,98,58,0.9986,0.0035,0.6581,0.0851
43,157,97,58,0.999,0.003,0.6553,0.083
44,156,96,58,0.9982,0.0038,0.6544,0.0792
45,155,95,58,0.9985,0.0036,0.652,0.0761
46,154,94,58,0.9985,0.0036,0.6514,0.0827
47,153,93,57,0.9888,0.028,0.6634,0.0815
48,152,92,57,0.9917,0.0248,0.6609,0.091
49,151,91,57,0.9907,0.0176,0.6492,0.0774
50,150,90,57,0.9858,0.0265,0.6578,0.0809
51,149,89,57,0.9834,0.0234,0.6598,0.0936
52,148,88,57,0.9841,0.0263,0.6508,0.085
53,147,87,56,0.9772,0.0284,0.659,0.0846
54,146,86,56,0.9756,0.0308,0.6551,0.0834
55,145,85,56,0.9803,0.0294,0.6611,0.084
56,144,84,55,0.9715,0.034,0.6518,0.0837
57,143,83,55,0.9708,0.0343,0.6569,0.0858
58,142,82,54,0.9637,0.0301,0.6668,0.0933
59,141,81,53,0.9446,0.032,0.6554,0.0823
60,140,80,52,0.9431,0.0334,0.6588,0.0896
61,139,79,51,0.9527,0.0337,0.6587,0.0887
62,138,79,51,0.9498,0.0333,0.6702,0.084
63,137,78,50,0.9486,0.0331,0.6609,0.0811
64,136,77,49,0.9354,0.0385,0.6551,0.0812
65,135,76,48,0.9338,0.0445,0.6578,0.0777
66,134,75,47,0.9337,0.0381,0.6455,0.0912
67,133,74,47,0.9302,0.0424,0.6589,0.0772
68,132,73,47,0.9441,0.0354,0.6586,0.0832
69,131,72,47,0.9339,0.04,0.6358,0.0741
70,130,71,46,0.926,0.0381,0.6467,0.0785
71,129,70,46,0.9298,0.0425,0.68,0.0904
72,128,69,45,0.9126,0.0402,0.6548,0.0874
73,127,68,44,0.9006,0.0424,0.6548,0.0832
74,126,67,43,0.9026,0.048,0.6594,0.1
75,125,66,42,0.8739,0.0403,0.6551,0.0784
76,124,65,41,0.8723,0.0463,0.6585,0.0861
77,123,64,41,0.876,0.0443,0.6688,0.0843
78,122,63,40,0.8669,0.0487,0.6405,0.0739
79,121,62,39,0.8731,0.0415,0.6456,0.0782
80,120,61,39,0.8731,0.0436,0.6632,0.083
81,119,60,38,0.869,0.0443,0.6653,0.0834
82,118,59,37,0.8657,0.0453,0.6777,0.0848
83,117,58,36,0.8603,0.052,0.6806,0.0868
84,116,58,35,0.8445,0.0478,0.6587,0.0842
85,115,57,34,0.8481,0.0516,0.6566,0.0945
86,114,56,34,0.8258,0.0464,0.6524,0.0869
87,113,55,33,0.8228,0.0463,0.6499,0.0834
88,112,54,32,0.8179,0.0434,0.6575,0.0784
89,111,53,31,0.8179,0.0457,0.6678,0.0751
90,110,52,30,0.8151,0.0503,0.6564,0.0808
91,109,51,30,0.8093,0.05,0.6495,0.0783
92,108,50,29,0.7839,0.0559,0.6537,0.0906
93,107,49,29,0.7661,0.0486,0.6423,0.0916
94,106,48,28,0.7704,0.0671,0.6589,0.0784
95,105,47,28,0.7796,0.0625,0.6547,0.0794
96,104,46,27,0.7648,0.0624,0.6608,0.0908
97,103,45,27,0.756,0.0677,0.664,0.0871
98,102,44,27,0.7454,0.0574,0.6413,0.0815
99,101,43,27,0.7517,0.0661,0.6553,0.0773
100,100,43,26,0.7523,0.0714,0.6629,0.0806
101,99,43,26,0.7574,0.0609,0.6396,0.0888
102,98,42,26,0.7529,0.059,0.6617,0.0773
103,97,41,26,0.7499,0.0619,0.6553,0.0819
104,96,40,26,0.7422,0.0638,0.6416,0.0688
105,95,40,26,0.7416,0.0595,0.6491,0.0805
106,94,39,26,0.7473,0.06,0.6513,0.0842
107,93,38,26,0.7296,0.0642,0.6643,0.0827
108,92,37,26,0.7269,0.0681,0.6671,0.0947
109,91,37,26,0.7301,0.0633,0.6575,0.0777
110,90,36,25,0.7218,0.0635,0.6394,0.0761
111,89,35,25,0.7207,0.0677,0.6554,0.0911
112,88,35,25,0.7006,0.0732,0.6603,0.0819
113,87,34,24,0.7089,0.0665,0.6589,0.0805
114,86,34,23,0.6928,0.0629,0.6594,0.0914
115,85,34,22,0.6997,0.0671,0.6713,0.0999
116,84,33,22,0.7024,0.064,0.6488,0.0807
