timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,98,58,0.9958,0.0062,0.653,0.0833
2,198,98,58,0.9966,0.0057,0.6564,0.0852
3,197,98,58,0.9957,0.0059,0.6547,0.0935
4,196,98,58,0.9955,0.0064,0.6587,0.0888
5,195,98,58,0.9955,0.0062,0.6622,0.0807
6,194,98,58,0.9959,0.0057,0.6591,0.0859
7,193,98,58,0.9947,0.0066,0.6574,0.0875
8,192,98,58,0.9955,0.0068,0.6694,0.0898
9,191,98,58,0.9964,0.0054,0.662,0.0866
10,190,98,58,0.9963,0.0056,0.6706,0.092
11,189,98,58,0.9959,0.006,0.6655,0.079
12,188,98,58,0.9958,0.0062,0.6669,0.0837
13,187,98,58,0.9956,0.0065,0.6474,0.0785
14,186,98,58,0.996,0.0057,0.6614,0.087
15,185,98,58,0.9962,0.0058,0.6581,0.0905
16,184,98,58,0.9953,0.0062,0.656,0.0874
17,183,98,58,0.9959,0.0058,0.6577,0.0853
18,182,98,58,0.9952,0.0059,0.6612,0.0875
19,181,98,58,0.9968,0.0049,0.663,0.0884
20,180,98,58,0.9947,0.0062,0.6535,0.0834
21,179,98,58,0.9956,0.0064,0.6465,0.0873
22,178,98,58,0.9958,0.0064,0.6604,0.0864
23,177,98,58,0.9965,0.0057,0.6567,0.0837
24,176,98,58,0.9958,0.0057,0.6464,0.0867
25,175,98,58,0.9959,0.0063,0.66,0.0841
26,174,98,58,0.9965,0.0054,0.6405,0.0872
27,173,98,58,0.9959,0.006,0.6572,0.0707
28,172,98,58,0.996,0.0058,0.6425,0.082
29,171,98,58,0.9965,0.0054,0.6631,0.0914
30,170,98,58,0.996,0.0057,0.6581,0.0924
31,169,98,58,0.9956,0.0071,0.634,0.0893
32,168,98,58,0.9962,0.0058,0.6577,0.0841
33,167,98,58,0.996,0.006,0.6526,0.0841
34,166,98,58,0.9958,0.0055,0.6688,0.0933
35,165,98,58,0.9963,0.0054,0.6459,0.0849
36,164,98,58,0.995,0.0064,0.6629,0.0839
37,163,98,58,0.9965,0.005,0.6507,0.0836
38,162,98,58,0.9954,0.0059,0.6505,0.0877
39,161,98,58,0.9961,0.0056,0.6618,0.0775
40,160,98,58,0.9949,0.0067,0.6611,0.077
41,159,98,58,0.996,0.0057,0.6615,0.0836
42,158,98,58,0.997,0.0054,0.6592,0.0799
43,157,97,58,0.9957,0.0057,0.6425,0.0826
44,156,96,58,0.9971,0.0048,0.6547,0.0919
45,155,95,58,0.9951,0.0067,0.6556,0.0843
46,154,94,58,0.9955,0.0059,0.6591,0.089
47,153,93,57,0.987,0.0209,0.6546,0.0907
48,152,92,57,0.9822,0.0263,0.6605,0.0901
49,151,91,57,0.9816,0.0221,0.6458,0.0806
50,150,90,57,0.9813,0.0227,0.6543,0.0802
51,149,89,57,0.97,0.0277,0.6623,0.0837
52,148,88,57,0.9652,0.031,0.6509,0.0721
53,147,87,56,0.9675,0.0304,0.6527,0.091
54,146,86,56,0.9685,0.0269,0.6595,0.0936
55,145,85,56,0.9687,0.0269,0.6398,0.0783
56,144,84,55,0.9638,0.0294,0.659,0.0768
