timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,46,29,0.9137,0.0357,0.6655,0.0932
2,198,46,29,0.9112,0.0426,0.6576,0.0751
3,197,46,29,0.9172,0.0423,0.6609,0.092
4,196,46,29,0.9191,0.0423,0.6508,0.0753
5,195,46,29,0.9127,0.0442,0.6567,0.0671
6,194,46,29,0.9119,0.0464,0.6666,0.079
7,193,46,29,0.9184,0.0398,0.6584,0.0778
8,192,46,29,0.9198,0.0406,0.6709,0.0882
9,191,46,29,0.9219,0.0433,0.6481,0.0798
10,190,46,29,0.9204,0.0479,0.6785,0.0787
11,189,46,29,0.9201,0.0447,0.6612,0.0892
12,188,46,29,0.9161,0.0447,0.6474,0.08
13,187,46,29,0.9158,0.0466,0.6634,0.0947
14,186,46,29,0.9203,0.0402,0.6589,0.0745
15,185,46,29,0.9143,0.0478,0.6665,0.0806
16,184,46,29,0.9258,0.041,0.6595,0.0758
17,183,46,29,0.9115,0.0402,0.6601,0.0819
18,182,46,29,0.9167,0.0445,0.6482,0.0825
19,181,46,29,0.911,0.0505,0.6569,0.0847
20,180,46,29,0.9147,0.0482,0.6514,0.0925
21,179,46,29,0.9106,0.0445,0.6532,0.0806
22,178,46,29,0.9192,0.0458,0.6614,0.0781
23,177,46,29,0.9145,0.0423,0.6487,0.0868
24,176,46,29,0.9121,0.0459,0.6581,0.0773
25,175,46,29,0.9134,0.0444,0.662,0.0853
26,174,46,29,0.9132,0.0398,0.6627,0.0853
27,173,46,29,0.9143,0.0423,0.6576,0.081
28,172,46,29,0.9109,0.0452,0.6602,0.0935
29,171,46,29,0.9124,0.0455,0.6477,0.079
30,170,46,29,0.9078,0.0462,0.6543,0.0901
31,169,46,29,0.9156,0.0436,0.6576,0.0848
32,168,46,29,0.9082,0.0473,0.6501,0.0761
33,167,46,29,0.9145,0.0449,0.6396,0.078
34,166,46,29,0.9123,0.0461,0.6454,0.0894
35,165,46,29,0.9152,0.0419,0.6624,0.085
36,164,46,29,0.9106,0.0473,0.6608,0.0801
37,163,46,29,0.9198,0.0423,0.6477,0.0885
38,162,47,29,0.9065,0.0446,0.6486,0.0827
39,161,47,29,0.9128,0.0453,0.6682,0.0875
40,160,47,29,0.905,0.0446,0.6589,0.0783
41,159,47,29,0.9118,0.0457,0.6656,0.0807
42,158,47,29,0.9117,0.047,0.6506,0.0788
43,157,47,29,0.9122,0.0457,0.6613,0.0905
44,156,47,29,0.9118,0.0456,0.6448,0.0904
45,155,47,29,0.9142,0.0409,0.6554,0.0834
46,154,47,29,0.9063,0.0387,0.6566,0.0878
47,153,47,29,0.9226,0.0467,0.6529,0.0846
48,152,47,29,0.9096,0.0414,0.6481,0.0932
49,151,47,29,0.9164,0.0441,0.6513,0.0781
50,150,47,29,0.9127,0.0437,0.6616,0.0851
51,149,47,29,0.9276,0.0472,0.6466,0.0867
52,148,47,29,0.9185,0.0457,0.6562,0.0869
53,147,47,29,0.9079,0.0446,0.6565,0.0825
54,146,47,29,0.9151,0.0421,0.6526,0.083
55,145,47,29,0.9153,0.0426,0.6728,0.0767
56,144,47,29,0.9183,0.0474,0.6457,0.0776
